HIP,HD,Teff,logg,Fe/H,O/H,Na/H,Mg/H,Al/H,Si/H,Ca/H,Ti/H,Cr/H,Ni/H,Zn/H,Y/H,Ba/H
    80,224817,5856, 4.10,-0.59,-0.17,-0.51,-0.30,-0.34,-0.43,-0.42,-0.39,-0.63,-0.61,-0.46,-0.72,-0.68
   305,225155,5607, 4.01,0.18,0.22,0.19,0.29,0.31,0.23,0.21,0.20,0.16,0.19,0.38,0.02,0.16
   407,225299,5655, 4.37,0.12,0.07,0.11,0.11,0.08,0.14,0.13,0.09,0.15,0.13,0.10,0.12,0.13
   699,400,6203, 4.07,-0.23,99.76,-0.18,-0.17,-0.21,-0.18,-0.15,-0.22,-0.27,-0.26,-0.29,-0.32,-0.06
   768,489,5716, 4.31,0.03,0.16,0.11,0.11,0.07,0.08,0.07,0.06,0.05,0.02,-0.05,-0.03,-0.02
   910,693,6289, 4.17,-0.33,99.66,-0.24,-0.30,-0.30,-0.26,-0.24,-0.23,-0.35,-0.33,-0.41,-0.39,-0.15
   950,739,6547, 4.14,-0.02,-0.02,-0.02,-0.08,-0.04,-0.02,0.07,-0.04,-0.06,-0.09,-0.16,0.02,0.33
  1128,967,5522, 4.37,-0.64,0.03,-0.59,-0.23,-0.30,-0.41,-0.41,-0.32,-0.55,-0.63,-0.42,-0.55,-0.69
  1349,1273,5705, 4.47,-0.54,-0.34,-0.50,-0.41,-0.48,-0.49,-0.42,-0.44,-0.50,-0.58,-0.54,-0.56,-0.53
  1599,1581,5932, 4.33,-0.19,-0.19,-0.19,-0.14,-0.11,-0.14,-0.13,-0.14,-0.20,-0.22,-0.23,-0.22,-0.08
  1746,1779,5473, 4.48,-0.47,0.03,-0.44,-0.13,-0.20,-0.27,-0.33,-0.24,-0.44,-0.45,-0.27,-0.46,-0.54
  1877,1985,5089, 3.42,-0.30,-0.28,-0.23,-0.11,-0.12,-0.19,-0.20,-0.20,-0.29,-0.29,-0.27,-0.30,-0.23
  1931,2039,5990, 4.45,0.34,0.09,0.42,0.36,0.36,0.36,0.33,0.37,0.34,0.37,0.22,0.29,0.31
  1955,2070,6024, 4.31,-0.01,-0.07,0.01,0.06,0.01,-0.01,0.02,0.01,-0.02,-0.03,-0.35,-0.06,0.01
  1976,2098,5982, 4.32,0.19,0.04,0.18,0.27,0.23,0.21,0.19,0.14,0.16,0.16,0.27,-0.02,0.19
  2021,2151,5852, 3.91,-0.07,-0.08,-0.01,0.01,0.05,-0.04,-0.05,-0.06,-0.09,-0.09,-0.03,-0.19,-0.04
  2057,2221,5248, 3.61,-0.18,-0.15,-0.16,-0.04,-0.06,-0.11,-0.11,-0.16,-0.17,-0.18,-0.09,-0.21,-0.19
  2194,2404,5211, 4.50,-0.60,-0.05,-0.58,-0.35,-0.34,-0.36,-0.47,-0.36,-0.57,-0.56,-0.28,-0.52,-0.64
  2235,2454,6595, 4.07,-0.29,99.70,-0.19,-0.24,-0.36,-0.23,-0.16,-0.23,-0.37,-0.33,-0.38,0.32,0.53
  2319,2615,6396, 3.97,-0.55,-0.34,-0.45,-0.31,-0.50,-0.45,-0.43,-0.42,-0.58,-0.60,-0.51,-0.61,-0.41
  2711,3158,6499, 4.22,0.06,0.01,0.15,0.05,0.03,0.07,0.20,0.04,0.04,-0.01,-0.01,0.13,0.26
  2743,3222,4991, 4.57,-0.41,-0.06,-0.46,-0.11,-0.18,-0.26,-0.23,-0.05,-0.30,-0.37,-0.35,-0.11,-0.46
  2787,3229,6583, 3.87,-0.11,99.88,-0.12,-0.14,-0.17,-0.11,-0.01,-0.08,-0.14,-0.18,-0.26,-0.11,0.46
  2909,3403,5743, 4.07,-0.15,0.07,-0.12,0.12,0.02,-0.04,-0.07,-0.01,-0.17,-0.16,-0.02,-0.28,-0.25
  3026,3567,6157, 4.19,-1.13,98.86,-1.34,-1.00,98.86,-1.00,-0.87,-0.86,-1.11,-1.23,-1.12,-1.22,-1.24
  3086,3628,5825, 4.34,-0.10,-0.02,-0.14,-0.03,0.00,-0.09,-0.05,0.05,-0.10,-0.12,-0.01,-0.18,-0.11
  3142,3735,6198, 4.18,-0.38,-0.30,-0.31,-0.26,-0.30,-0.34,-0.28,-0.28,-0.38,-0.41,-0.45,-0.48,-0.36
  3170,3823,5963, 4.05,-0.24,-0.12,-0.24,-0.03,-0.09,-0.18,-0.15,-0.17,-0.21,-0.26,-0.26,-0.38,-0.21
  3182,3810,5643, 4.32,-0.29,0.14,-0.24,-0.03,-0.04,-0.12,-0.17,-0.06,-0.26,-0.26,-0.17,-0.31,-0.41
  3185,3795,5335, 3.88,-0.59,-0.08,-0.46,-0.32,-0.25,-0.37,-0.36,-0.26,-0.52,-0.56,-0.38,-0.46,-0.47
  3391,4113,5600, 4.30,0.16,0.13,0.28,0.19,0.21,0.22,0.16,0.16,0.17,0.22,0.41,0.09,0.13
  3479,4208,5563, 4.40,-0.26,0.00,-0.29,-0.14,-0.15,-0.20,-0.25,-0.18,-0.24,-0.30,-0.21,-0.32,-0.39
  3497,4308,5638, 4.41,-0.32,0.07,-0.30,-0.11,-0.07,-0.18,-0.21,-0.09,-0.28,-0.30,-0.18,-0.40,-0.45
  3704,4597,6078, 4.40,-0.35,-0.28,-0.35,-0.31,-0.28,-0.35,-0.30,-0.26,-0.37,-0.38,-0.30,-0.43,-0.29
  3734,4607,6225, 3.99,-0.06,0.02,-0.06,0.10,-0.06,-0.04,-0.01,-0.04,-0.09,-0.13,-0.18,-0.02,0.11
  3909,4813,6352, 4.45,-0.03,99.96,-0.11,-0.07,-0.08,-0.08,0.00,-0.03,-0.08,-0.09,-0.16,0.00,0.13
  4830,6168,6046, 4.16,0.12,0.00,0.18,0.23,0.16,0.13,0.12,0.09,0.08,0.11,0.16,0.04,0.05
  4892,6234,5994, 4.42,-0.29,-0.26,-0.28,-0.23,-0.21,-0.27,-0.24,-0.27,-0.32,-0.33,-0.21,-0.37,-0.23
  5054,6434,5768, 4.33,-0.62,-0.06,-0.51,-0.23,-0.33,-0.37,-0.38,-0.34,-0.61,-0.59,-0.21,-0.33,-0.22
  5264,6753,5720, 3.83,0.00,-0.05,0.03,0.11,0.06,0.02,0.04,-0.02,-0.05,-0.02,0.26,-0.06,0.01
  5301,6718,5686, 4.39,-0.11,-0.10,-0.14,-0.09,-0.09,-0.11,-0.11,-0.12,-0.09,-0.14,0.07,-0.14,-0.08
  5315,6734,4971, 3.41,-0.46,0.04,-0.29,-0.10,-0.11,-0.22,-0.27,-0.15,-0.43,-0.42,-0.18,-0.38,-0.61
  5700,7573,5792, 4.34,0.04,0.07,-0.03,0.12,0.11,0.04,0.05,0.11,0.05,-0.01,0.02,-0.04,-0.02
  5817,7621,5292, 4.39,-0.08,0.29,-0.12,0.16,0.13,0.09,0.00,0.11,-0.05,-0.03,0.04,-0.07,-0.08
  5862,7570,6145, 4.24,0.17,100.16,0.23,0.21,0.19,0.19,0.17,0.15,0.18,0.16,0.08,-0.04,0.05
  6177,8049,5026, 4.56,-0.11,0.17,-0.17,-0.08,-0.05,-0.09,-0.05,0.04,-0.02,-0.11,-0.08,0.03,-0.15
  6607,8638,5451, 4.47,-0.44,0.05,-0.37,-0.18,-0.17,-0.24,-0.31,-0.16,-0.41,-0.41,-0.26,-0.46,-0.54
  6653,8648,5841, 4.34,0.22,0.05,0.28,0.22,0.23,0.25,0.21,0.25,0.22,0.25,0.22,0.20,0.18
  6856,9054,5036, 4.52,-0.10,0.18,-0.15,-0.22,-0.09,-0.16,0.08,0.05,0.08,-0.17,-0.13,0.19,0.17
  6949,9195,5005, 3.35,-0.50,-0.17,-0.41,-0.21,-0.21,-0.31,-0.32,-0.24,-0.50,-0.49,-0.37,-0.43,-0.60
  7080,9280,5691, 4.12,0.35,0.17,0.38,0.40,0.39,0.41,0.35,0.40,0.38,0.39,0.38,0.37,0.24
  7091,9424,5284, 4.36,0.02,0.26,0.02,0.06,0.07,0.12,-0.02,0.06,0.03,0.06,0.14,-0.07,-0.04
  7162,,5217, 2.97,-2.05,97.94,-2.23,-1.69,97.94,-1.79,-1.84,-1.89,-1.97,-2.17,97.94,-2.23,-2.22
  7276,9562,6038, 4.28,0.28,-0.02,0.33,0.26,0.30,0.26,0.22,0.28,0.25,0.31,0.31,0.19,0.19
  7961,10519,5648, 3.91,-0.62,-0.07,-0.48,-0.24,-0.25,-0.38,-0.35,-0.33,-0.60,-0.61,-0.46,-0.70,-0.78
  7978,10647,6219, 4.41,0.05,-0.10,-0.04,-0.02,-0.02,0.01,0.09,0.04,0.06,-0.02,-0.06,0.13,0.26
  8398,11112,5918, 4.23,0.20,0.10,0.31,0.32,0.31,0.26,0.19,0.19,0.18,0.23,0.22,0.16,0.15
  8498,11264,5712, 4.31,0.04,0.07,0.09,0.08,0.08,0.07,0.05,0.04,0.05,0.05,0.15,-0.01,0.02
  8572,,5931, 3.77,-2.62,97.37,97.37,97.37,97.37,97.37,-2.16,-2.10,97.37,-2.49,97.37,97.37,-2.88
  8674,11397,5526, 4.45,-0.61,-0.15,-0.55,-0.35,-0.36,-0.43,-0.45,-0.35,-0.60,-0.61,-0.40,0.06,0.11
  8758,11523,5920, 4.29,0.00,-0.03,0.01,0.00,-0.01,0.02,0.03,0.03,-0.02,-0.02,-0.04,-0.05,-0.02
  8798,11505,5749, 4.37,-0.23,0.05,-0.21,0.00,0.00,-0.10,-0.12,-0.04,-0.22,-0.22,-0.02,-0.29,-0.30
  8859,11592,6420, 4.21,-0.30,-0.22,-0.29,-0.15,-0.27,-0.26,-0.24,-0.28,-0.35,-0.37,-0.43,-0.36,-0.20
  9085,12042,6334, 4.29,-0.26,99.73,-0.25,-0.14,-0.29,-0.21,-0.18,-0.21,-0.28,-0.31,-0.32,-0.52,-0.14
  9137,11963,6310, 4.25,-0.33,-0.27,-0.28,-0.15,-0.26,-0.24,-0.23,-0.28,-0.36,-0.39,-0.34,-0.42,-0.22
  9316,12333,5606, 3.88,0.10,0.05,0.21,0.18,0.18,0.13,0.13,0.10,0.11,0.14,0.41,0.01,0.09
  9381,12387,5673, 4.35,-0.28,0.06,-0.21,-0.04,-0.03,-0.14,-0.21,-0.11,-0.27,-0.25,-0.14,-0.35,-0.37
  9471,12696,5653, 4.13,0.04,0.11,0.06,0.18,0.23,0.11,0.11,0.14,0.02,0.06,0.15,-0.10,-0.01
  9629,12724,5362, 4.45,-0.28,0.11,-0.28,-0.14,-0.12,-0.17,-0.25,-0.11,-0.24,-0.29,-0.21,-0.19,-0.36
  9818,13033,5579, 4.04,-0.05,0.17,0.00,0.09,0.14,0.06,0.03,0.09,-0.06,-0.02,0.17,-0.12,-0.10
  9911,13043,5920, 4.24,0.08,0.04,0.16,0.18,0.17,0.13,0.09,0.09,0.07,0.09,0.25,-0.04,0.03
 10116,13578,5855, 4.06,-0.01,-0.05,0.02,-0.01,0.03,0.01,0.03,0.03,-0.02,-0.02,-0.04,-0.12,-0.11
 10225,13602,6480, 4.20,0.03,0.19,0.17,0.30,0.17,0.16,0.16,0.13,0.03,0.01,0.13,-0.10,0.10
 10306,13555,6507, 3.96,-0.19,99.80,-0.12,-0.14,-0.10,-0.14,-0.11,-0.14,-0.24,-0.22,-0.29,-0.11,0.24
 10483,13992,6113, 4.29,-0.12,-0.17,-0.10,-0.11,-0.11,-0.13,-0.12,-0.15,-0.16,-0.17,-0.13,-0.23,-0.15
 10492,13945,5769, 4.46,0.34,0.16,0.51,0.27,0.33,0.36,0.29,0.39,0.37,0.41,0.38,0.37,0.27
 10694,14398,5870, 4.29,0.12,0.13,0.12,0.21,0.19,0.12,0.09,0.16,0.10,0.11,0.12,0.05,0.00
 10798,14412,5302, 4.61,-0.51,-0.21,-0.49,-0.43,-0.38,-0.41,-0.50,-0.39,-0.46,-0.51,-0.41,-0.44,-0.44
 10842,14747,5457, 4.34,-0.36,0.11,-0.34,-0.03,-0.07,-0.17,-0.24,-0.14,-0.29,-0.36,-0.20,-0.34,-0.51
 10977,14680,5014, 4.57,-0.14,-0.13,-0.23,-0.16,-0.12,-0.16,-0.16,-0.02,-0.04,-0.15,-0.15,0.12,-0.09
 11072,14802,5917, 3.96,0.00,-0.03,0.07,0.05,0.08,0.03,0.02,0.02,0.00,0.00,0.01,-0.08,0.01
 11205,15018,5445, 4.38,-0.06,0.07,-0.10,0.00,-0.01,0.00,-0.06,-0.03,-0.05,-0.05,-0.03,-0.09,-0.09
 11309,15029,6195, 3.99,-0.34,99.65,-0.26,-0.26,-0.26,-0.27,-0.27,-0.30,-0.40,-0.33,-0.41,-0.47,-0.24
 11586,15515,6391, 4.01,-0.45,-0.28,-0.37,-0.26,99.54,-0.40,-0.36,-0.37,-0.49,-0.50,-0.59,-0.51,-0.39
 12048,16141,5751, 3.99,0.12,0.02,0.07,0.24,0.21,0.14,0.14,0.10,0.09,0.10,0.07,-0.08,0.04
 12186,16417,5885, 4.23,0.18,-0.01,0.10,0.14,0.26,0.15,0.17,0.21,0.16,0.16,0.18,0.08,0.08
 12306,16397,5832, 4.44,-0.52,99.47,-0.46,-0.24,-0.33,-0.37,-0.39,-0.28,-0.50,-0.47,-0.45,-0.63,-0.55
 12381,16609,6195, 4.07,-0.23,-0.06,-0.24,-0.05,-0.24,-0.15,-0.15,-0.20,-0.27,-0.29,-0.18,-0.06,-0.17
 12411,16714,5513, 4.45,-0.14,0.03,-0.18,-0.06,-0.03,-0.09,-0.13,-0.06,-0.13,-0.15,-0.06,-0.18,-0.28
 12444,16673,6383, 4.41,0.09,-0.10,0.04,0.05,-0.01,0.09,0.14,0.06,0.10,0.01,-0.01,0.19,0.33
 12483,16784,5703, 3.87,-0.70,-0.07,-0.59,-0.33,-0.50,-0.44,-0.44,-0.46,-0.71,-0.72,-0.53,-0.78,-0.73
 12611,17006,5431, 3.97,0.36,0.09,0.44,0.28,0.44,0.36,0.34,0.43,0.34,0.40,0.49,0.38,0.26
 12653,17051,6375, 4.73,0.27,0.00,0.21,0.16,0.16,0.19,0.25,0.29,0.27,0.24,0.16,0.37,0.39
 12889,17322,5999, 4.23,-0.13,-0.09,-0.09,-0.02,-0.07,-0.10,-0.09,-0.13,-0.17,-0.16,-0.14,-0.22,-0.18
 13315,18003,5674, 3.84,-0.32,-0.25,-0.29,-0.17,-0.23,-0.28,-0.28,-0.30,-0.35,-0.36,-0.11,-0.39,-0.23
 13341,18025,5821, 4.34,0.03,0.01,0.07,0.05,0.11,0.05,0.04,0.05,0.03,0.03,0.01,-0.02,-0.01
 13350,18024,5431, 4.39,-0.18,0.00,-0.21,-0.09,-0.12,-0.12,-0.15,-0.15,-0.15,-0.18,-0.09,-0.22,-0.18
 13366,17820,5856, 4.26,-0.69,-0.15,-0.59,-0.32,-0.46,-0.47,-0.45,-0.41,-0.68,-0.70,-0.47,-0.72,-0.80
 13388,17970,5080, 4.59,-0.41,-0.05,-0.39,-0.18,-0.12,-0.23,-0.34,-0.03,-0.28,-0.35,-0.18,-0.14,-0.55
 13513,18168,5159, 4.58,0.06,0.17,0.08,0.05,0.16,0.12,0.02,0.23,0.21,0.09,0.06,0.30,-0.10
 13848,18563,5425, 4.47,0.22,0.28,0.23,0.30,0.31,0.34,0.17,0.29,0.27,0.31,0.52,0.20,0.19
 13902,18709,5898, 4.31,-0.26,-0.12,-0.30,-0.13,-0.22,-0.24,-0.19,-0.19,-0.26,-0.31,-0.40,-0.40,-0.29
 13938,18618,6372, 4.18,0.07,-0.02,0.15,0.16,0.04,0.13,0.13,0.02,0.05,0.03,-0.09,0.03,0.10
 14016,18732,5418, 3.95,-0.17,0.08,-0.09,0.13,0.10,-0.02,-0.06,-0.01,-0.17,-0.14,-0.03,-0.26,-0.25
 14023,18702,5180, 4.42,0.14,0.28,0.16,0.17,0.15,0.20,0.05,0.15,0.17,0.19,0.22,0.13,0.05
 14086,18907,5095, 3.47,-0.56,-0.23,-0.52,-0.14,-0.21,-0.33,-0.28,-0.20,-0.52,-0.55,-0.37,-0.45,-0.67
 14241,19034,5430, 4.33,-0.45,0.14,-0.40,-0.07,-0.11,-0.21,-0.28,-0.15,-0.35,-0.42,-0.23,-0.31,-0.58
 14339,19423,5757, 4.26,-0.06,0.01,-0.12,0.00,-0.07,-0.03,-0.04,0.01,-0.07,-0.10,0.02,-0.13,-0.08
 14561,19603,6107, 4.20,0.31,0.16,0.43,0.41,0.40,0.37,0.30,0.28,0.29,0.33,0.29,0.26,0.13
 14879,20010,6199, 3.92,-0.18,-0.09,-0.17,-0.08,-0.13,-0.15,-0.13,-0.15,-0.20,-0.24,-0.25,-0.23,0.04
 14954,19994,6424, 4.54,0.31,0.03,0.40,0.27,0.33,0.30,0.25,0.36,0.31,0.31,0.33,0.32,0.24
 15131,20407,5985, 4.54,-0.43,99.56,-0.32,-0.33,-0.38,-0.40,-0.40,-0.35,-0.43,-0.42,-0.42,-0.66,-0.50
 15158,20259,6191, 4.18,-0.06,-0.01,-0.02,0.02,-0.06,-0.02,-0.03,-0.07,-0.10,-0.10,-0.07,-0.08,-0.06
 15371,20807,5826, 4.41,-0.24,-0.14,-0.26,-0.16,-0.16,-0.19,-0.20,-0.20,-0.24,-0.26,-0.22,-0.36,-0.21
 15381,20477,5882, 4.24,0.08,0.03,0.14,0.16,0.14,0.13,0.09,0.06,0.07,0.09,0.09,-0.02,-0.06
 15510,20794,5372, 4.47,-0.46,99.53,-0.39,-0.13,-0.14,-0.24,-0.33,-0.14,-0.43,-0.40,-0.16,-0.27,-0.69
 15940,21252,5546, 3.91,-0.44,-0.06,-0.39,-0.18,-0.21,-0.29,-0.28,-0.23,-0.47,-0.45,-0.28,-0.53,-0.50
 16169,21543,5650, 4.34,-0.57,-0.06,-0.51,-0.25,-0.32,-0.37,-0.40,-0.34,-0.56,-0.55,-0.42,-0.69,-0.73
 16365,21938,5789, 4.27,-0.43,-0.06,-0.37,-0.16,-0.27,-0.30,-0.27,-0.21,-0.42,-0.44,-0.14,-0.50,-0.46
 16391,22019,5699, 4.11,-0.05,0.02,-0.04,0.13,0.12,0.00,0.05,0.09,-0.06,-0.06,0.13,-0.11,0.02
 16404,,5149, 4.64,-2.26,97.73,-2.66,-2.01,97.73,97.73,-2.03,-1.95,-2.14,-2.25,-1.91,-2.38,-2.65
 16492,22083,5058, 3.53,-0.54,-0.12,-0.48,-0.15,-0.21,-0.31,-0.32,-0.27,-0.53,-0.50,-0.37,-0.55,-0.60
 16788,22309,6021, 4.41,-0.31,99.68,-0.25,-0.17,-0.17,-0.28,-0.24,-0.21,-0.35,-0.28,-0.22,0.49,0.57
 16852,22484,6036, 4.08,-0.03,-0.06,0.03,0.03,0.04,-0.01,0.00,-0.02,-0.04,-0.05,-0.03,-0.10,0.04
 17147,22879,5970, 4.52,-0.81,-0.28,-0.75,-0.46,-0.48,-0.58,-0.57,-0.48,-0.78,-0.80,-0.72,-0.69,-0.82
 17378,23249,5113, 3.84,0.20,-0.14,0.27,0.22,0.26,0.21,0.19,0.26,0.25,0.23,0.33,0.23,0.06
 17970,24558,5204, 4.50,-0.49,-0.18,-0.56,-0.32,-0.36,-0.36,-0.44,-0.36,-0.48,-0.49,-0.31,-0.53,-0.54
 17987,24156,5500, 3.90,-0.48,0.02,-0.39,-0.12,-0.20,-0.28,-0.29,-0.26,-0.50,-0.45,-0.33,-0.57,-0.61
 18164,24424,6635, 3.87,-0.53,-0.36,-0.45,-0.43,-0.97,-0.53,-0.52,-0.50,-0.57,-0.61,-0.78,-0.61,-0.29
 18331,24742,6534, 4.23,0.16,0.12,0.15,0.36,0.19,0.19,0.20,0.17,0.12,0.12,0.06,-0.03,0.27
 18612,25059,5847, 4.33,-0.13,-0.08,-0.15,-0.06,-0.08,-0.13,-0.11,-0.11,-0.13,-0.15,-0.03,-0.22,-0.21
 18802,25704,5861, 4.14,-0.93,-0.37,-0.84,-0.56,-0.75,-0.74,-0.70,-0.75,-0.97,-0.96,-0.76,-1.11,-1.07
 18833,25322,6301, 3.91,-0.53,99.46,-0.46,-0.50,-0.33,-0.46,-0.41,-0.44,-0.63,-0.51,-0.62,-0.58,-0.33
 19233,26491,5803, 4.29,-0.07,-0.06,-0.09,0.00,-0.04,-0.06,-0.05,-0.08,-0.08,-0.10,-0.14,-0.19,-0.11
 19773,27305,6429, 4.25,-0.52,-0.38,-0.47,-0.38,-0.58,-0.46,-0.42,-0.42,-0.54,-0.56,-0.51,-0.64,-0.54
 20199,27631,5638, 4.40,-0.16,0.06,-0.17,-0.02,-0.01,-0.08,-0.09,-0.02,-0.15,-0.17,-0.08,-0.16,-0.20
 20242,27485,5717, 4.11,-0.23,99.76,-0.23,-0.10,-0.02,-0.20,-0.07,-0.12,-0.23,-0.24,-0.20,-0.34,-0.17
 20489,27939,5840, 4.33,0.28,0.06,0.38,0.25,0.28,0.31,0.25,0.32,0.29,0.34,0.33,0.27,0.13
 20638,28187,5755, 4.34,-0.46,-0.02,-0.37,-0.14,-0.19,-0.28,-0.27,-0.19,-0.43,-0.44,-0.30,-0.56,-0.57
 20677,28701,5674, 4.17,-0.32,0.06,-0.27,-0.01,-0.10,-0.15,-0.15,-0.12,-0.31,-0.29,-0.15,-0.12,-0.17
 21079,28904,5792, 4.43,-0.11,-0.08,-0.18,-0.16,-0.19,-0.14,-0.07,-0.10,-0.09,-0.20,-0.24,0.02,0.10
 21731,30306,5530, 4.39,0.22,0.17,0.19,0.19,0.22,0.27,0.17,0.28,0.25,0.24,0.31,0.29,0.15
 21832,29587,5643, 4.48,-0.60,99.39,-0.53,-0.31,-0.33,-0.41,-0.44,-0.33,-0.56,-0.53,-0.45,-0.69,-0.61
