HIP,HD,Teff,logg,Fe/H,O/H,Na/H,Mg/H,Al/H,Si/H,Ca/H,Ti/H,Cr/H,Ni/H,Zn/H,Y/H,Ba/H
101399,195145,5643, 4.44,0.24,0.09,0.24,0.14,0.19,0.24,0.19,0.25,0.24,0.27,0.38,0.27,0.17
101857,195962,5712, 4.26,-0.01,0.00,-0.03,0.03,0.04,0.01,-0.02,-0.02,-0.01,-0.04,-0.11,-0.10,-0.10
102018,196800,5933, 4.12,0.13,0.10,0.22,0.15,0.14,0.17,0.13,0.07,0.12,0.15,0.08,-0.05,0.02
102046,196892,6009, 4.13,-1.05,-0.45,-1.01,-0.61,-0.78,-0.76,-0.77,-0.77,-1.02,-1.06,-0.94,-0.96,-1.06
102200,197083,5718, 4.40,-0.48,-0.22,-0.54,-0.30,-0.41,-0.43,-0.40,-0.40,-0.49,-0.53,-0.49,-0.59,-0.39
102264,197214,5594, 4.57,-0.24,-0.14,-0.28,-0.20,-0.21,-0.22,-0.25,-0.17,-0.21,-0.27,-0.18,-0.18,-0.13
102548,197507,5514, 4.49,-0.25,-0.09,-0.34,-0.21,-0.25,-0.23,-0.23,-0.24,-0.22,-0.31,-0.29,-0.15,-0.04
102580,197823,5351, 4.45,0.11,0.11,0.12,0.08,0.10,0.17,0.09,0.10,0.16,0.15,0.20,0.16,0.11
102610,198089,5845, 4.23,-0.25,-0.12,-0.27,-0.12,-0.20,-0.21,-0.19,-0.20,-0.27,-0.29,-0.01,-0.46,-0.30
102762,198188,5948, 4.30,-0.04,-0.06,0.00,-0.02,-0.07,-0.05,-0.04,-0.07,-0.07,-0.07,-0.06,-0.12,-0.03
102793,198273,5770, 4.03,-0.57,99.42,-0.48,-0.27,-0.36,-0.42,-0.40,-0.35,-0.57,-0.57,-0.49,-0.74,-0.78
102838,198416,5625, 4.27,-0.32,0.07,-0.27,-0.04,-0.05,-0.15,-0.16,-0.11,-0.31,-0.31,-0.14,-0.43,-0.36
103458,199288,5843, 4.53,-0.61,-0.26,-0.58,-0.35,-0.36,-0.48,-0.46,-0.34,-0.61,-0.60,-0.49,-0.69,-0.68
103498,199289,5856, 4.23,-1.11,-0.50,-1.03,-0.68,-0.88,-0.87,-0.86,-0.85,-1.14,-1.12,-0.92,-1.22,-1.40
103572,199604,5853, 4.26,-0.66,-0.20,-0.58,-0.31,-0.45,-0.47,-0.45,-0.41,-0.66,-0.65,-0.51,-0.79,-0.78
103609,199671,4993, 3.74,-0.31,0.10,-0.18,0.04,0.03,-0.09,-0.11,-0.03,-0.27,-0.25,-0.13,-0.30,-0.39
103654,199190,5940, 4.26,0.14,0.05,0.22,0.22,0.19,0.17,0.13,0.11,0.11,0.16,0.12,0.05,0.05
103682,199960,6023, 4.41,0.33,0.09,0.39,0.32,0.43,0.33,0.32,0.34,0.35,0.38,0.35,0.25,0.18
103692,200078,5694, 4.11,0.26,0.19,0.37,0.25,0.31,0.32,0.25,0.24,0.26,0.31,0.57,0.14,0.20
103735,199918,5713, 4.33,-0.26,-0.07,-0.20,-0.11,-0.13,-0.23,-0.14,-0.21,-0.21,-0.32,-0.29,-0.31,-0.21
103773,200051,5650, 3.74,-0.29,-0.20,-0.27,-0.13,-0.18,-0.24,-0.22,-0.23,-0.32,-0.33,-0.31,-0.40,-0.22
103881,200315,6493, 4.14,-0.54,-0.37,-0.47,-0.37,-0.64,-0.46,-0.45,-0.46,-0.58,-0.59,-0.71,-0.62,-0.47
103896,200297,5724, 4.49,-0.24,-0.16,-0.27,-0.17,-0.15,-0.19,-0.20,-0.20,-0.26,-0.28,-0.35,-0.19,-0.15
103990,200344,6127, 3.99,0.11,0.06,0.22,0.23,0.16,0.15,0.15,0.07,0.08,0.12,0.12,0.02,0.15
104045,200633,5835, 4.45,0.04,-0.03,0.02,0.05,0.04,0.04,0.05,0.02,0.02,0.02,0.02,0.03,0.06
104075,200746,5947, 4.45,-0.01,-0.09,-0.05,-0.10,-0.03,-0.06,0.06,-0.03,0.01,-0.10,-0.18,0.02,0.26
104152,200474,5964, 4.25,0.15,0.04,0.21,0.21,0.21,0.18,0.16,0.16,0.14,0.18,0.11,0.10,0.17
104294,201099,5902, 3.95,-0.44,-0.19,-0.48,-0.28,-0.37,-0.38,-0.35,-0.39,-0.49,-0.50,-0.50,-0.66,-0.47
104560,201588,5802, 4.42,-0.51,-0.29,-0.46,-0.30,-0.37,-0.43,-0.44,-0.43,-0.53,-0.53,-0.49,-0.64,-0.54
104659,201891,5973, 4.35,-1.08,-0.62,-0.97,-0.67,-0.83,-0.87,-0.86,-0.85,-1.06,-1.09,-1.00,-1.22,-1.30
104672,201876,6148, 4.07,-0.04,-0.06,-0.02,0.07,-0.02,-0.04,-0.01,-0.06,-0.08,-0.09,-0.11,-0.13,-0.02
104766,201945,6246, 4.07,-0.19,-0.16,-0.18,-0.07,-0.12,-0.14,-0.11,-0.19,-0.23,-0.26,-0.27,-0.23,-0.10
104922,202282,5804, 4.46,0.05,-0.05,0.05,0.07,0.06,0.07,0.05,0.04,0.06,0.04,0.02,0.06,0.06
105083,202578,6706, 4.06,-0.21,-0.01,-0.18,-0.05,-0.18,-0.19,-0.15,-0.19,-0.28,-0.28,0.03,-0.25,-0.06
105214,202457,5689, 4.07,0.06,0.09,0.08,0.17,0.18,0.12,0.08,0.10,0.05,0.08,0.23,-0.07,0.01
105521,203473,5872, 4.16,0.23,0.10,0.33,0.28,0.29,0.26,0.21,0.24,0.21,0.26,0.24,0.16,0.16
105541,203254,5586, 3.78,-0.20,-0.15,-0.17,-0.06,-0.06,-0.15,-0.14,-0.16,-0.21,-0.22,-0.12,-0.30,-0.24
105606,203432,5607, 4.42,0.30,0.18,0.37,0.25,0.32,0.34,0.28,0.30,0.33,0.38,0.46,0.27,0.22
105790,203373,5081, 3.76,-0.28,0.01,-0.25,-0.05,-0.03,-0.12,-0.17,-0.09,-0.26,-0.25,-0.14,-0.31,-0.40
105858,203608,6195, 4.36,-0.63,-0.43,-0.51,-0.49,-0.50,-0.56,-0.57,-0.55,-0.64,-0.65,-0.66,-0.78,-0.58
106006,204313,5761, 4.37,0.16,0.07,0.25,0.18,0.21,0.20,0.14,0.15,0.16,0.21,0.26,0.14,0.10
106560,205156,5646, 4.37,-0.66,-0.14,-0.57,-0.37,-0.37,-0.47,-0.46,-0.41,-0.65,-0.65,-0.49,-0.75,-0.75
106678,205656,5646, 4.13,0.01,0.11,0.04,0.17,0.17,0.11,0.05,0.06,0.00,0.02,0.07,-0.15,-0.06
106701,205545,5701, 4.50,0.08,0.05,0.06,0.02,0.06,0.07,0.10,0.08,0.12,0.05,0.11,0.15,0.17
106931,205891,5508, 4.46,-0.20,-0.02,-0.21,-0.13,-0.13,-0.15,-0.21,-0.13,-0.17,-0.19,-0.12,-0.29,-0.22
106951,206032,5743, 3.87,-0.24,-0.21,-0.26,-0.12,-0.13,-0.19,-0.13,-0.20,-0.28,-0.27,-0.13,-0.36,-0.23
107607,206998,5813, 3.98,-0.77,-0.25,-0.66,-0.40,-0.47,-0.54,-0.53,-0.53,-0.79,-0.77,-0.68,-0.88,-0.86
107618,207237,5702, 4.27,-0.31,-0.05,-0.36,-0.14,-0.23,-0.23,-0.26,-0.27,-0.31,-0.36,-0.24,-0.44,-0.36
107708,207398,5720, 3.80,-0.45,-0.30,-0.37,-0.29,-0.30,-0.40,-0.38,-0.37,-0.47,-0.47,-0.44,-0.55,-0.34
107857,207687,5107, 3.47,-0.75,-0.25,-0.67,-0.36,-0.41,-0.50,-0.48,-0.43,-0.74,-0.72,-0.57,-0.68,-0.82
107877,207692,6355, 4.20,-0.24,-0.23,-0.28,-0.08,-0.22,-0.19,-0.17,-0.23,-0.27,-0.31,-0.24,0.01,0.06
107975,207978,6578, 4.22,-0.47,99.52,-0.38,-0.36,-0.46,-0.43,-0.38,-0.32,-0.57,-0.48,-0.55,-0.54,-0.25
108068,208029,5600, 4.38,-0.34,0.11,-0.27,-0.04,-0.07,-0.15,-0.19,-0.08,-0.32,-0.31,-0.13,-0.34,-0.42
108095,208068,5998, 4.40,-0.42,-0.28,-0.37,-0.32,-0.40,-0.41,-0.32,-0.38,-0.42,-0.48,-0.53,-0.50,-0.31
108158,207700,5613, 4.30,0.03,0.22,0.05,0.12,0.16,0.12,0.04,0.14,0.05,0.05,0.11,0.03,0.00
108288,208152,5963, 4.22,-0.31,-0.18,-0.33,-0.17,-0.24,-0.25,-0.23,-0.27,-0.35,-0.36,-0.28,-0.47,-0.39
108468,208704,5799, 4.25,-0.08,-0.05,-0.14,-0.08,-0.08,-0.09,-0.06,-0.09,-0.10,-0.13,0.04,-0.21,-0.09
108473,208776,5987, 3.95,-0.11,-0.09,-0.09,-0.01,-0.04,-0.07,-0.06,-0.13,-0.13,-0.14,-0.15,-0.17,-0.02
108598,208740,5062, 4.64,-0.75,-0.12,-0.72,-0.36,-0.42,-0.48,-0.55,-0.34,-0.65,-0.70,-0.44,-0.31,-0.93
108736,208998,5990, 4.47,-0.29,0.02,-0.26,-0.06,-0.04,-0.15,-0.13,-0.02,-0.27,-0.28,-0.13,-0.36,-0.40
109012,209566,5430, 4.42,0.13,0.18,0.12,0.16,0.17,0.19,0.09,0.16,0.15,0.20,0.32,0.16,0.12
109086,209793,6075, 4.33,0.01,-0.09,0.07,0.06,0.02,0.02,0.01,-0.01,-0.02,0.01,0.00,-0.07,0.02
109110,209779,5841, 4.55,0.04,-0.04,-0.02,-0.04,-0.02,-0.01,0.12,0.05,0.09,-0.03,-0.22,0.12,0.26
109144,209875,6272, 4.21,-0.08,-0.16,-0.06,0.00,-0.07,-0.07,-0.02,-0.10,-0.13,-0.14,-0.17,-0.12,0.00
109207,209913,5496, 4.43,0.19,0.26,0.17,0.25,0.31,0.27,0.16,0.26,0.22,0.24,0.30,0.27,0.19
109214,209653,5976, 4.11,-0.14,-0.09,-0.12,0.00,-0.03,-0.09,-0.10,-0.13,-0.16,-0.16,-0.18,-0.28,-0.16
109266,209828,6224, 4.34,-0.37,-0.34,-0.41,-0.17,-0.22,-0.31,-0.19,-0.19,-0.42,-0.41,-0.40,-0.45,-0.29
109378,210277,5540, 4.51,0.24,0.20,0.26,0.26,0.30,0.28,0.16,0.34,0.26,0.28,0.34,0.31,0.19
109381,210193,5803, 4.46,0.13,0.06,0.15,0.11,0.08,0.14,0.12,0.13,0.14,0.15,0.34,0.13,0.15
109450,210483,5921, 4.32,-0.06,-0.05,-0.08,0.01,0.07,-0.06,-0.05,-0.03,-0.04,-0.09,-0.06,-0.17,-0.10
109650,210775,5723, 4.43,-0.20,-0.09,-0.25,-0.18,-0.20,-0.23,-0.13,-0.15,-0.16,-0.28,-0.26,-0.16,0.02
109795,210900,5848, 3.78,-0.13,-0.13,-0.07,0.00,-0.03,-0.08,-0.07,-0.16,-0.16,-0.16,-0.09,-0.23,-0.05
109821,210918,5797, 4.45,-0.07,0.00,-0.13,-0.02,0.03,-0.08,-0.08,0.02,-0.09,-0.10,-0.11,-0.15,-0.11
110028,211366,5828, 4.37,0.20,0.07,0.25,0.15,0.20,0.22,0.20,0.18,0.21,0.24,0.19,0.16,0.13
110035,211476,5907, 4.42,-0.14,-0.19,-0.18,-0.10,-0.12,-0.14,-0.12,-0.12,-0.16,-0.17,0.02,-0.23,-0.11
110084,211467,5365, 4.35,-0.27,0.11,-0.28,-0.06,-0.07,-0.08,-0.18,-0.06,-0.25,-0.25,-0.17,-0.22,-0.39
110102,211332,5796, 4.07,-0.27,-0.12,-0.28,-0.04,-0.13,-0.21,-0.15,-0.22,-0.26,-0.34,-0.29,-0.49,-0.33
110109,211415,5825, 4.38,-0.23,-0.13,-0.22,-0.15,-0.14,-0.18,-0.21,-0.18,-0.22,-0.25,-0.23,-0.30,-0.20
110341,211976,6577, 4.35,-0.09,-0.11,-0.13,-0.04,-0.15,-0.10,-0.01,-0.04,-0.12,-0.17,-0.22,-0.04,0.12
110454,212142,5678, 3.78,-0.26,-0.23,-0.24,-0.11,-0.22,-0.25,-0.21,-0.25,-0.28,-0.29,-0.24,-0.29,-0.16
110468,212038,4996, 4.65,-0.77,-0.25,-0.76,-0.40,-0.44,-0.56,-0.52,-0.29,-0.59,-0.75,-0.65,-0.43,-0.90
110512,212231,5802, 4.29,-0.27,0.05,-0.25,-0.10,-0.04,-0.17,-0.18,-0.08,-0.25,-0.27,-0.10,-0.38,-0.30
110712,212168,5952, 4.29,0.02,-0.07,-0.02,0.05,0.01,0.01,0.04,0.01,0.00,0.00,0.10,-0.05,0.06
110843,212708,5656, 4.41,0.29,0.19,0.38,0.20,0.30,0.32,0.24,0.28,0.31,0.35,0.34,0.30,0.25
111274,213575,5622, 4.07,-0.17,0.13,-0.11,0.05,0.07,-0.04,-0.07,0.00,-0.18,-0.16,-0.08,-0.29,-0.26
111312,213612,5145, 3.61,-0.26,-0.19,-0.21,-0.10,-0.12,-0.17,-0.17,-0.19,-0.26,-0.25,-0.26,-0.30,-0.22
111517,214059,5522, 3.93,-0.34,0.07,-0.24,-0.06,-0.08,-0.16,-0.18,-0.12,-0.35,-0.32,-0.21,-0.41,-0.41
111565,213941,5534, 4.44,-0.48,0.01,-0.42,-0.14,-0.20,-0.27,-0.29,-0.22,-0.43,-0.44,-0.19,-0.52,-0.57
111648,214067,5282, 4.52,-0.45,0.05,-0.41,-0.15,-0.14,-0.21,-0.31,-0.10,-0.38,-0.40,-0.25,-0.25,-0.66
111746,214385,5638, 4.41,-0.37,-0.14,-0.38,-0.27,-0.27,-0.31,-0.33,-0.32,-0.37,-0.40,-0.35,-0.47,-0.44
111978,214759,5353, 4.47,0.19,0.21,0.21,0.13,0.16,0.26,0.11,0.18,0.22,0.28,0.28,0.21,0.19
112151,215110,5039, 3.49,-0.45,99.54,-0.39,-0.14,-0.11,-0.22,-0.26,-0.11,-0.44,-0.36,-0.34,-0.39,-0.55
112201,214954,5692, 4.33,0.13,0.13,0.19,0.12,0.19,0.19,0.14,0.13,0.14,0.19,0.12,0.10,0.14
112243,215220,5527, 4.35,-0.18,0.10,-0.16,-0.02,-0.03,-0.06,-0.12,-0.06,-0.18,-0.17,0.09,-0.25,-0.22
113044,216435,6024, 4.10,0.26,0.07,0.34,0.31,0.36,0.29,0.28,0.25,0.24,0.29,0.26,0.26,0.25
113113,216436,5613, 4.36,-0.14,-0.06,-0.23,-0.11,-0.10,-0.12,-0.12,-0.14,-0.14,-0.19,-0.19,-0.27,-0.15
113137,216437,5975, 4.41,0.29,0.06,0.34,0.25,0.36,0.28,0.28,0.38,0.33,0.34,0.37,0.24,0.23
113174,216756,6860, 4.11,-0.08,99.91,-0.09,-0.15,99.91,-0.12,0.01,-0.01,-0.08,-0.16,-0.20,-0.03,0.56
113357,217014,5858, 4.44,0.24,-0.01,0.33,0.17,0.29,0.22,0.22,0.28,0.25,0.29,0.29,0.20,0.17
113386,217004,5736, 3.94,-0.06,-0.11,-0.04,0.00,0.03,-0.03,-0.02,-0.03,-0.06,-0.07,-0.09,-0.16,-0.09
113421,217107,5647, 4.42,0.34,0.20,0.46,0.35,0.37,0.33,0.27,0.37,0.37,0.39,0.38,0.33,0.21
113454,217084,5665, 4.41,-0.28,-0.14,-0.30,-0.21,-0.26,-0.26,-0.23,-0.25,-0.24,-0.32,-0.28,-0.26,-0.16
113543,217276,5793, 3.99,-0.28,-0.03,-0.28,0.00,-0.08,-0.19,-0.15,-0.15,-0.24,-0.34,-0.20,-0.39,-0.29
113677,217500,5423, 3.80,-0.12,-0.06,-0.12,-0.02,-0.03,-0.07,-0.07,-0.08,-0.13,-0.13,-0.04,-0.20,-0.13
113688,217577,5757, 4.29,-0.14,-0.03,-0.23,-0.16,-0.12,-0.14,-0.11,-0.11,-0.14,-0.21,-0.15,-0.20,-0.18
113777,217597,5070, 3.74,-0.24,0.05,-0.20,-0.01,0.01,-0.08,-0.11,-0.01,-0.24,-0.18,-0.03,-0.23,-0.33
114040,218050,5605, 4.36,0.02,0.16,0.04,0.13,0.13,0.09,0.03,0.11,0.03,0.05,0.28,-0.04,-0.05
114333,218510,5748, 4.28,0.04,0.05,0.06,0.10,0.08,0.07,0.05,0.05,0.04,0.04,0.08,-0.03,0.03
114450,218807,5935, 4.40,-0.05,-0.09,-0.05,0.00,-0.04,-0.03,-0.04,-0.07,-0.07,-0.09,-0.12,-0.13,-0.03
114460,218632,5386, 4.44,-0.03,0.15,-0.06,0.06,-0.02,0.05,-0.05,0.02,-0.01,-0.02,0.06,-0.04,-0.10
114576,219018,5876, 4.33,0.06,0.03,0.10,0.15,0.14,0.09,0.06,0.11,0.05,0.07,0.06,0.01,-0.05
114584,219019,5733, 4.40,-0.14,-0.06,-0.19,-0.13,-0.11,-0.13,-0.08,-0.09,-0.13,-0.18,-0.23,-0.09,0.00
114590,218960,5796, 4.09,0.20,0.09,0.27,0.25,0.27,0.25,0.19,0.18,0.18,0.23,0.34,0.12,0.10
114615,219057,5799, 4.44,-0.05,-0.06,-0.10,-0.07,-0.11,-0.08,-0.05,-0.05,-0.05,-0.11,-0.14,-0.01,0.03
114702,219175,6028, 4.33,-0.34,-0.27,-0.32,-0.24,-0.32,-0.32,-0.29,-0.33,-0.36,-0.38,-0.74,-0.45,-0.35
114709,219122,5977, 4.34,-0.29,-0.24,-0.29,-0.17,-0.25,-0.26,-0.24,-0.28,-0.32,-0.35,-0.34,-0.38,-0.22
114743,219218,5343, 3.77,-0.14,0.11,-0.09,0.04,0.07,-0.03,-0.07,-0.04,-0.15,-0.13,-0.05,-0.22,-0.21
114761,219221,6712, 4.07,-0.65,-0.47,-0.50,-0.48,-0.65,-0.60,-0.60,-0.57,-0.70,-0.73,-0.53,-0.65,-0.71
114962,219617,5935, 4.32,-1.50,-0.83,-1.68,-1.14,98.49,-1.32,-1.25,-1.26,-1.57,-1.68,-1.38,98.49,-1.85
115286,220066,5745, 3.82,-0.08,-0.03,-0.06,0.10,0.03,-0.03,-0.03,-0.07,-0.11,-0.11,-0.08,-0.26,-0.19
115411,220293,5430, 4.51,-0.45,-0.14,-0.47,-0.30,-0.32,-0.36,-0.40,-0.36,-0.45,-0.46,-0.28,-0.46,-0.42
115577,220507,5648, 4.30,0.00,0.20,0.01,0.11,0.16,0.09,0.03,0.11,0.01,0.02,0.20,-0.04,-0.01
115662,220689,5937, 4.32,-0.03,-0.05,-0.01,0.03,-0.02,-0.01,-0.02,-0.05,-0.06,-0.04,-0.04,-0.13,-0.05
115792,220818,6480, 4.12,-0.11,-0.12,-0.14,-0.03,-0.09,-0.10,-0.03,-0.07,-0.15,-0.17,-0.19,-0.04,0.16
115803,220894,6275, 4.30,0.01,-0.07,-0.01,0.04,-0.06,0.03,0.07,-0.03,-0.04,-0.06,-0.02,0.00,0.12
115861,220981,5618, 4.26,0.25,0.20,0.26,0.29,0.27,0.30,0.25,0.33,0.26,0.28,0.64,0.24,0.16
115917,221054,6189, 4.34,-0.52,-0.39,-0.46,-0.38,-0.51,-0.47,-0.45,-0.42,-0.54,-0.57,-0.43,-0.67,-0.61
116033,221257,5856, 4.31,-0.08,-0.05,-0.11,-0.08,-0.06,-0.07,-0.05,-0.03,-0.11,-0.11,-0.13,-0.18,-0.14
116410,221822,5347, 4.44,-0.37,-0.05,-0.41,-0.18,-0.24,-0.26,-0.32,-0.26,-0.33,-0.39,-0.31,-0.37,-0.49
116421,221830,5769, 4.32,-0.43,99.56,-0.38,-0.14,-0.09,-0.22,-0.22,-0.09,-0.42,-0.38,-0.38,-0.41,-0.44
116478,221914,5567, 4.38,-0.07,0.01,-0.05,0.01,0.00,0.01,-0.06,-0.06,-0.06,-0.07,-0.03,-0.10,-0.15
116740,222317,5765, 3.86,0.07,100.06,0.14,0.35,0.14,0.09,0.25,-0.01,0.04,0.02,0.19,-0.08,0.22
116906,222582,5792, 4.36,0.02,-0.01,0.03,0.05,0.06,0.03,0.03,0.05,-0.01,0.02,0.03,-0.07,0.03
117320,223171,5853, 4.07,0.16,0.03,0.17,0.15,0.12,0.17,0.16,0.18,0.14,0.16,0.07,0.07,0.03
117364,223241,5819, 4.31,-0.05,-0.08,-0.11,0.05,0.03,-0.03,0.00,-0.02,-0.09,-0.08,-0.11,-0.14,-0.05
117526,223498,5540, 4.35,0.20,0.09,0.17,0.17,0.18,0.23,0.16,0.26,0.22,0.22,0.10,0.29,0.16
117627,223641,5338, 3.70,-0.36,-0.19,-0.39,-0.16,-0.14,-0.27,-0.25,-0.27,-0.36,-0.40,-0.33,-0.46,-0.40
117880,224022,6236, 4.46,0.21,0.01,0.23,0.18,0.25,0.17,0.22,0.26,0.19,0.22,0.18,0.16,0.15
117902,224063,5588, 4.39,0.16,0.21,0.15,0.27,0.28,0.23,0.14,0.23,0.19,0.20,0.50,0.14,0.15
117961,224147,5620, 3.91,0.04,0.01,0.00,0.12,0.13,0.05,0.08,0.03,0.02,-0.01,0.33,-0.11,0.02
118010,224233,5822, 4.28,-0.07,99.92,-0.14,-0.03,0.04,-0.05,-0.03,0.02,-0.09,-0.10,-0.07,-0.16,0.00
118115,224383,5833, 4.39,0.02,-0.06,-0.05,0.03,0.07,-0.02,0.02,0.08,0.00,-0.02,-0.04,-0.12,-0.03
118141,224431,6157, 3.77,-0.38,-0.21,-0.32,-0.19,-0.33,-0.29,-0.30,-0.35,-0.41,-0.45,-0.44,-0.47,-0.27
118143,224433,5476, 4.47,0.05,0.08,0.08,0.08,0.06,0.10,0.02,0.04,0.07,0.08,0.07,0.10,0.05
,,,,,,,,,,,0,,,,,
