Name,Teff,log(g),[Na/H],[Si/H],[Ti/H],[Fe/H],[Ni/H]
HD60491,5091,4.63,-0.26,-0.13,-0.18,-0.17,-0.28
HD61421,6543,3.99,0.13,0.01,0.08,0.00,-0.05
HD61686,5871,4.44,0.42,0.31,0.30,0.30,0.36
HD61606,4964,4.71,-0.02,0.12,-0.04,0.07,-0.01
HD64184,5635,4.55,-0.13,-0.06,-0.02,-0.21,-0.18
HD63754,6096,4.07,0.21,0.18,0.22,0.22,0.22
HD63433,5742,4.56,-0.09,-0.01,0.07,0.07,-0.05
HD64468,4936,4.47,0.19,0.10,0.10,0.07,0.07
HD65907,5949,4.63,-0.23,-0.12,-0.07,-0.34,-0.29
HD65277,4741,4.76,-0.26,-0.02,-0.13,-0.16,-0.18
HD65430,5183,4.55,-0.07,-0.03,-0.01,-0.12,-0.12
HD65583,5279,4.76,-0.58,-0.36,-0.37,-0.69,-0.65
HD67199,5135,4.53,0.05,0.01,-0.02,0.03,0.02
HD66428,5752,4.49,0.41,0.29,0.28,0.31,0.33
HD67458,5838,4.45,-0.32,-0.16,-0.12,-0.19,-0.23
HD67556,6198,4.35,0.26,0.21,0.16,0.19,0.18
HD67228,5862,4.02,0.27,0.16,0.19,0.20,0.23
HD66171,5711,4.41,-0.35,-0.24,-0.23,-0.31,-0.34
HD67767,5344,3.88,-0.04,-0.08,0.06,0.06,-0.01
HD68017,5552,4.65,-0.35,-0.20,-0.17,-0.44,-0.39
HD68168,5724,4.40,0.08,0.10,0.10,0.12,0.11
HD68978,5919,4.43,-0.05,0.01,0.00,0.02,-0.01
HD69655,5949,4.39,-0.18,-0.16,-0.16,-0.20,-0.21
HD69565,5205,3.68,0.00,-0.08,0.04,0.05,0.01
HD68988,5960,4.41,0.48,0.34,0.32,0.32,0.39
HD69830,5361,4.46,-0.06,-0.05,-0.08,-0.06,-0.09
HD69809,5817,4.30,0.36,0.28,0.23,0.27,0.31
HD69897,6294,4.25,-0.28,-0.17,-0.18,-0.23,-0.28
HD70110,6023,4.12,0.15,0.17,0.20,0.15,0.18
HD70642,5706,4.43,0.29,0.19,0.13,0.16,0.21
HD70889,6016,4.41,0.01,0.07,0.03,0.09,0.04
HD70843,6208,4.17,0.21,0.17,0.16,0.16,0.16
HD72234,5693,3.89,-0.17,-0.13,-0.09,-0.12,-0.15
HD71334,5716,4.48,-0.12,-0.05,-0.04,-0.06,-0.08
HD71479,5953,4.30,0.26,0.20,0.20,0.21,0.25
HD71148,5818,4.39,-0.04,0.00,0.00,0.02,-0.01
HD71881,5822,4.29,0.03,-0.02,-0.07,-0.05,-0.03
HD72673,5243,4.67,-0.35,-0.29,-0.30,-0.37,-0.40
HD72528,6117,4.22,-0.09,0.01,0.02,0.02,-0.05
HD72769,5653,4.40,0.39,0.29,0.24,0.31,0.35
HD72659,5920,4.24,-0.02,-0.01,0.05,0.00,-0.02
HD72760,5375,4.57,0.00,0.05,0.09,0.12,0.04
HD72780,6266,4.37,0.05,0.12,0.15,0.15,0.11
HD73121,6055,4.22,0.08,0.08,0.10,0.07,0.07
HD73526,5584,4.16,0.25,0.26,0.27,0.25,0.29
HD73524,5959,4.41,0.03,0.13,0.10,0.12,0.10
HD73350,5802,4.48,0.02,0.06,0.07,0.12,0.05
HD73344,6173,4.41,0.14,0.14,0.13,0.13,0.13
HD73668,5941,4.41,-0.07,0.00,0.00,0.00,-0.04
HD73667,4990,4.65,-0.44,-0.29,-0.28,-0.57,-0.52
HD74014,5605,4.43,0.31,0.24,0.22,0.26,0.27
HD74156,6068,4.26,0.11,0.10,0.14,0.13,0.13
HD74868,6176,4.27,0.29,0.26,0.21,0.24,0.26
HD75289,6095,4.33,0.14,0.22,0.19,0.22,0.22
HD75302,5721,4.49,0.01,0.06,0.07,0.10,0.05
HD75332,6258,4.41,0.03,0.08,0.09,0.14,0.06
HD75732,5235,4.45,0.49,0.33,0.23,0.31,0.37
HD75782,6029,4.06,0.33,0.23,0.27,0.29,0.30
HD76700,5668,4.30,0.35,0.33,0.30,0.35,0.37
HD76151,5790,4.55,0.14,0.10,0.04,0.11,0.09
HD76218,5465,4.72,-0.11,-0.01,0.09,0.07,-0.04
HD76752,5704,4.29,0.05,0.04,0.03,0.03,0.02
HD76909,5740,4.39,0.51,0.36,0.34,0.38,0.43
HD77407,6002,4.46,-0.02,0.02,0.06,0.10,0.00
HD78429,5724,4.31,0.05,0.08,0.07,0.08,0.05
HD78366,6014,4.54,-0.04,0.03,-0.03,0.08,-0.02
HD80913,5983,4.05,-0.67,-0.57,-0.46,-0.68,-0.76
HD80133,5212,4.59,-0.01,0.06,-0.02,0.08,-0.02
HD80367,5098,4.51,0.05,0.06,0.07,0.00,0.01
HD80635,5802,4.14,0.55,0.47,0.46,0.50,0.57
HD80606,5573,4.44,0.47,0.32,0.21,0.34,0.36
HD82114,5882,4.10,-0.02,0.02,0.08,0.03,0.03
HD82082,6016,4.41,0.11,0.14,0.16,0.14,0.12
HD82106,4868,4.80,-0.02,0.16,-0.02,0.11,0.01
HD233641,6086,4.09,-0.26,-0.11,0.03,-0.08,-0.17
HD82558,5062,5.12,0.05,0.43,0.08,0.33,0.12
HD82943,5997,4.42,0.28,0.24,0.23,0.27,0.29
HD83443,5453,4.49,0.57,0.39,0.28,0.36,0.44
HD83529,5878,4.34,-0.35,-0.19,-0.15,-0.25,-0.27
HD84117,6152,4.31,-0.09,-0.05,-0.07,-0.07,-0.12
HD84737,5960,4.24,0.16,0.14,0.18,0.17,0.17
HD85683,6126,4.28,-0.09,0.02,-0.03,0.02,-0.05
HD85301,5725,4.62,0.03,0.10,0.15,0.19,0.13
HD86264,6326,4.22,0.17,0.19,0.20,0.26,0.20
HD86819,5988,4.26,-0.03,-0.02,-0.03,-0.05,-0.05
HD86728,5700,4.29,0.31,0.23,-0.04,0.20,0.18
HD87359,5676,4.49,-0.01,0.05,0.04,0.06,0.02
HD87424,5069,4.64,-0.18,-0.04,-0.11,-0.07,-0.20
HD87836,5774,4.31,0.46,0.33,0.32,0.36,0.40
HD87883,4958,4.56,0.14,0.09,0.03,0.07,0.04
HD88072,5751,4.40,0.01,0.01,-0.01,0.01,0.01
HD88218,5837,4.10,-0.17,-0.12,-0.05,-0.14,-0.16
HD88371,5630,4.50,-0.22,-0.09,-0.05,-0.31,-0.27
HD88742,5949,4.41,-0.11,-0.04,-0.11,-0.05,-0.08
HD88725,5581,4.55,-0.60,-0.44,-0.43,-0.70,-0.67
HD88986,5838,4.23,0.03,0.07,0.11,0.09,0.06
HD89307,5898,4.34,-0.19,-0.12,-0.12,-0.16,-0.19
HD89391,4976,3.59,-0.11,-0.15,0.08,-0.09,-0.08
HD89269,5586,4.44,-0.21,-0.15,-0.18,-0.20,-0.22
HD89744,6291,4.07,0.26,0.22,0.29,0.26,0.23
HD90156,5626,4.63,-0.29,-0.16,-0.17,-0.21,-0.25
HD90125,4928,3.16,-0.14,-0.26,0.00,-0.02,-0.11
HD90711,5466,4.50,0.43,0.28,0.27,0.30,0.32
HD90722,5719,4.31,0.48,0.32,0.30,0.36,0.38
HD90905,6148,4.57,-0.12,-0.01,0.04,0.07,-0.03
HD90839,6126,4.34,-0.12,-0.07,-0.10,-0.07,-0.14
HD91204,5914,4.29,0.31,0.21,0.19,0.21,0.25
HD91638,6069,4.16,-0.32,-0.27,-0.28,-0.32,-0.37
HD92222B,5690,4.65,0.16,0.20,0.26,0.29,0.23
HD92222A,5753,4.70,0.14,0.17,0.28,0.27,0.21
HD92788,5836,4.66,0.35,0.30,0.29,0.32,0.33
HD92945,5183,4.76,-0.07,0.10,0.02,0.13,0.00
HD92987,5774,4.06,0.06,0.06,0.07,0.05,0.05
HD92855,6140,4.58,-0.33,-0.05,0.00,0.00,-0.11
HD93385,5952,4.38,0.00,0.02,0.02,0.01,-0.01
HD93745,5918,4.12,0.07,0.07,0.09,0.08,0.07
BD+132311B,6226,4.11,-0.23,-0.21,-0.16,-0.25,-0.32
BD+132311,6251,4.10,-0.28,-0.18,-0.06,-0.19,-0.29
HD94280,6032,4.23,0.05,0.09,0.05,0.08,0.07
HD94765,5091,4.76,0.01,0.17,0.06,0.15,0.05
BD-103166,5393,4.69,0.50,0.38,0.26,0.38,0.39
HD95128,5882,4.38,0.04,0.06,0.03,0.04,0.04
HD95188,5482,4.65,-0.11,-0.07,-0.01,-0.01,-0.10
HD96423,5718,4.45,0.09,0.12,0.08,0.10,0.11
HD96418,6216,4.05,-0.08,-0.02,0.03,0.01,-0.05
HD96574,6044,4.21,-0.11,0.01,0.07,0.04,0.00
HD96700,5865,4.41,-0.23,-0.14,-0.12,-0.18,-0.22
HD97037,5868,4.34,-0.14,-0.06,-0.04,-0.08,-0.11
HD97004,5617,4.51,0.42,0.29,0.32,0.31,0.34
HD97343,5399,4.56,-0.06,0.03,0.04,-0.04,-0.05
HD97334,5898,4.42,0.12,0.10,-0.01,0.09,0.04
HD97658,5148,4.65,-0.30,-0.22,-0.24,-0.26,-0.32
HD97998,5749,4.62,-0.37,-0.32,-0.33,-0.41,-0.43
HD98281,5419,4.61,-0.24,-0.17,-0.15,-0.20,-0.25
HD98388,6244,4.21,-0.06,0.07,0.08,0.09,0.02
HD98553,6009,4.69,-0.41,-0.31,-0.21,-0.34,-0.39
HD98697,6144,4.05,-0.06,-0.04,0.03,-0.03,-0.07
HD98618,5812,4.42,0.00,0.03,0.02,0.03,0.02
HD98744,6107,3.90,-0.57,-0.25,-0.12,-0.25,-0.34
HD99109,5272,4.44,0.44,0.33,0.30,0.31,0.35
HD99491,5502,4.58,0.42,0.33,0.28,0.34,0.34
HD99492,4955,4.77,0.37,0.32,0.22,0.36,0.35
HD99610,5706,4.49,0.29,0.21,0.16,0.23,0.23
HD100180,5989,4.38,-0.07,0.00,-0.01,-0.01,-0.05
HD100167,5915,4.38,-0.02,0.05,0.00,0.06,0.01
HD100623,5189,4.68,-0.35,-0.29,-0.27,-0.37,-0.40
HD101177,5883,4.37,-0.24,-0.17,-0.16,-0.19,-0.24
HD101259,5067,3.51,-0.72,-0.58,-0.36,-0.69,-0.69
HD101472,6191,4.43,-0.25,-0.08,-0.04,-0.03,-0.15
HD101501,5488,4.43,-0.08,-0.06,-0.12,-0.03,-0.13
HD101959,6049,4.39,-0.22,-0.11,-0.10,-0.11,-0.20
HD102071,5279,4.53,-0.04,0.01,-0.05,0.01,0.00
HD102117,5695,4.37,0.34,0.29,0.27,0.30,0.33
HD102158,5725,4.49,-0.35,-0.21,-0.13,-0.47,-0.41
HD102365,5630,4.57,-0.31,-0.21,-0.21,-0.33,-0.33
BD+511696,5272,4.30,-3.24,-1.34,-1.32,-1.48,-1.69
HD102357,6222,4.33,-0.22,-0.10,-0.12,-0.06,-0.16
HD102438,5558,4.52,-0.25,-0.19,-0.22,-0.28,-0.29
HD102634,6215,4.10,0.29,0.20,0.17,0.18,0.18
HD102870,6161,4.22,0.19,0.14,0.17,0.18,0.19
HD103095,4950,4.65,-1.78,-1.21,-1.04,-1.37,-1.47
HD103432,5641,4.52,-0.16,-0.12,-0.11,-0.12,-0.17
HD103829,5750,4.36,0.15,0.11,0.09,0.12,0.13
HD104067,4956,4.65,0.11,0.13,0.04,0.10,0.06
HD104304,5565,4.56,0.41,0.27,0.19,0.27,0.34
HD104556,5051,3.79,-0.31,-0.28,-0.06,-0.38,-0.35
HD104800,5626,4.53,-0.81,-0.54,-0.51,-0.82,-0.83
HD105113,5922,3.97,-0.11,-0.11,-0.01,-0.09,-0.12
HD105328,5977,4.27,0.16,0.16,0.15,0.16,0.17
HD105405,6145,4.23,-0.24,-0.18,-0.18,-0.21,-0.29
HD105631,5462,4.57,0.16,0.13,0.16,0.20,0.15
HD106116,5681,4.42,0.18,0.13,0.11,0.13,0.14
HD106156,5492,4.58,0.26,0.19,0.21,0.23,0.22
HD106252,5870,4.36,-0.07,-0.07,-0.05,-0.08,-0.09
HD106423,6015,4.31,0.44,0.35,0.31,0.35,0.38
HD106453,5669,4.49,0.07,0.06,0.07,0.10,0.06
HD107146,5882,4.47,-0.18,-0.07,-0.03,-0.03,-0.13
HD107148,5797,4.45,0.40,0.30,0.26,0.31,0.35
HD107213,6274,4.06,0.29,0.25,0.29,0.28,0.26
HD107705,6130,4.32,0.04,0.11,0.08,0.13,0.09
HD107692,5867,4.44,0.08,0.13,0.09,0.15,0.13
HD108147,6156,4.29,0.00,0.10,0.04,0.09,0.06
HD108309,5778,4.26,0.15,0.12,0.09,0.13,0.13
HD108510,6108,4.57,-0.05,0.05,0.02,0.04,0.01
HD108874,5551,4.35,0.19,0.16,0.15,0.18,0.19
HD109200,5098,4.57,-0.32,-0.25,-0.22,-0.30,-0.33
HD109358,5930,4.44,-0.12,-0.15,-0.14,-0.16,-0.19
HD110537,5752,4.40,0.12,0.11,0.11,0.12,0.11
HD110810,5005,4.59,-0.04,0.01,-0.04,0.07,-0.02
HD111031,5806,4.38,0.39,0.26,0.27,0.28,0.32
HD111066,6105,4.12,-0.05,-0.04,-0.01,-0.04,-0.07
HD111395,5654,4.55,0.03,0.07,0.05,0.13,0.04
HD111398,5714,4.29,0.05,0.08,0.11,0.08,0.08
HD111484B,5933,4.09,-0.22,-0.02,-0.07,0.02,-0.08
HD111484,5984,4.34,-0.24,-0.04,-0.10,0.00,-0.12
HD111515,5399,4.62,-0.52,-0.38,-0.36,-0.60,-0.57
HD112060,5491,3.96,0.21,0.14,0.22,0.24,0.23
HD112257,5697,4.45,-0.03,0.04,0.07,-0.03,-0.02
HD112914,4861,4.62,-0.33,-0.27,-0.23,-0.31,-0.34
HD114174,5781,4.51,0.09,0.07,0.08,0.07,0.05
HD114260,5509,4.49,-0.07,-0.06,-0.10,-0.09,-0.11
HD114386,4820,4.71,-0.07,0.06,-0.01,0.00,0.03
HD114710,6075,4.57,-0.03,0.03,0.04,0.07,0.03
HD114613,5782,4.09,0.30,0.19,0.21,0.24,0.27
HD114762,5953,4.54,-0.55,-0.42,-0.36,-0.65,-0.69
HD114783,5135,4.53,0.21,0.09,0.11,0.12,0.10
HD114729,5821,4.14,-0.33,-0.21,-0.08,-0.26,-0.30
HD114853,5691,4.49,-0.32,-0.19,-0.19,-0.25,-0.29
HD114946,5114,3.54,-0.23,-0.31,-0.14,-0.21,-0.24
HD115383,6234,4.60,0.29,0.21,0.25,0.28,0.25
HD115589,5259,4.55,0.27,0.22,0.20,0.22,0.22
HD115617,5571,4.47,0.08,0.01,-0.06,0.05,-0.01
HD115585,5679,4.25,0.45,0.32,0.28,0.34,0.38
HD116442,5182,4.56,-0.41,-0.31,-0.29,-0.40,-0.44
HD116443,5038,4.58,-0.40,-0.30,-0.27,-0.38,-0.42
HD117126,5758,4.34,-0.04,0.01,0.05,-0.03,-0.04
HD117176,5545,4.07,0.00,0.01,-0.02,-0.01,-0.04
HD117105,5870,4.36,-0.31,-0.20,-0.19,-0.29,-0.32
HD117207,5724,4.51,0.30,0.21,0.24,0.27,0.26
HD117618,5964,4.35,0.02,0.03,0.02,0.00,0.00
HD117936,4834,4.84,0.16,0.21,0.07,0.20,0.17
HD117939,5671,4.46,-0.24,-0.13,-0.13,-0.21,-0.23
HD118475,5898,4.36,0.18,0.12,0.06,0.10,0.09
HD118914,5728,4.30,0.17,0.13,0.10,0.15,0.17
HD118972,5191,4.54,-0.11,-0.03,-0.08,0.00,-0.08
HD120066,5873,4.23,0.00,0.11,0.21,0.11,0.12
HD120136,6387,4.26,0.27,0.24,0.12,0.23,0.20
HD120237,6127,4.42,-0.03,0.00,-0.02,-0.03,-0.03
HD120476,4729,5.09,-0.20,0.10,-0.08,-0.18,-0.04
HD120690,5751,4.52,-0.03,0.01,0.00,0.05,0.01
HD120780,5008,4.53,-0.29,-0.24,-0.26,-0.26,-0.29
HD121320,5548,4.54,-0.34,-0.22,-0.22,-0.25,-0.32
HD121560,6027,4.27,-0.42,-0.35,-0.35,-0.42,-0.48
HD121384,5276,3.80,-0.41,-0.42,-0.31,-0.41,-0.43
HD122064,4757,4.58,0.22,0.17,0.00,0.18,0.23
HD122652,6093,4.24,-0.07,-0.01,-0.02,0.00,-0.06
HD122676,5593,4.56,-0.06,0.01,-0.05,-0.02,-0.04
HD122742,5508,4.49,0.03,0.01,-0.08,0.01,0.00
HD122862,5957,4.13,-0.14,-0.10,-0.09,-0.13,-0.15
HD124115,6579,4.69,-0.11,0.18,0.08,0.23,0.19
HD124106,5117,4.58,-0.16,-0.10,-0.10,-0.10,-0.19
HD124292,5501,4.65,-0.06,-0.05,-0.06,-0.08,-0.10
HD124694,6175,4.34,-0.07,0.01,-0.05,0.04,-0.06
HD125040,6296,4.26,-0.10,0.01,-0.03,0.04,-0.19
HD124584,5933,4.21,-0.04,-0.03,-0.05,-0.06,-0.07
HD125184,5691,4.16,0.30,0.24,0.28,0.32,0.31
HD125072,4903,4.69,0.43,0.30,0.16,0.32,0.36
HD125455,5109,4.53,-0.15,-0.15,-0.13,-0.18,-0.21
HD126053,5640,4.52,-0.37,-0.25,-0.27,-0.35,-0.37
HD125881,6004,4.38,0.03,0.04,0.01,0.05,0.02
HD126614,5594,4.44,0.71,0.52,0.49,0.56,0.61
HD126961,6147,4.28,0.04,0.11,0.07,0.11,0.07
HD127334,5744,4.37,0.32,0.23,0.20,0.27,0.28
HD128165,4809,4.67,0.01,0.07,-0.07,0.00,-0.02
HD128167,6566,4.19,-0.44,-0.35,-0.39,-0.43,-0.55
HD128311,4965,4.83,0.08,0.27,0.07,0.20,0.17
HD128428,5739,4.34,0.64,0.40,0.44,0.47,0.51
HD129333,5845,4.47,-0.04,-0.04,0.15,0.16,-0.04
HD128621,5178,4.56,0.29,0.23,0.12,0.23,0.25
HD128620,5801,4.33,0.31,0.23,0.18,0.21,0.26
HD128674,5534,4.54,-0.36,-0.28,-0.30,-0.39,-0.40
HD129010,6052,4.01,0.03,0.08,0.18,0.10,0.07
HD129191,5817,4.41,0.37,0.25,0.18,0.24,0.28
HD129814,5844,4.41,0.01,0.01,0.03,0.00,-0.02
HD129060,6127,4.29,-0.01,0.02,-0.03,0.07,-0.03
HD130087,6057,4.27,0.39,0.28,0.26,0.28,0.33
HD130307,5024,4.62,-0.23,-0.11,-0.16,-0.16,-0.23
HD130322,5308,4.41,-0.02,0.00,-0.11,0.01,-0.04
HD130948,6059,4.58,-0.10,0.00,-0.01,0.05,-0.04
HD130871,4878,4.71,-0.18,-0.06,-0.14,-0.16,-0.20
HD131156A,5570,4.65,-0.17,-0.12,-0.10,-0.04,-0.17
HD130992,4833,4.70,-0.04,0.06,-0.05,-0.01,-0.05
HD131117,5973,4.06,0.15,0.11,0.19,0.14,0.14
HD131509,5112,3.84,-0.14,-0.19,-0.02,-0.11,-0.15
HD131511,5335,4.60,0.09,0.14,0.04,0.17,0.12
HD132142,5122,4.60,-0.33,-0.20,-0.22,-0.45,-0.40
HD131977,4744,4.76,0.14,0.02,0.10,0.12,0.10
HD131923,5702,4.44,0.09,0.10,0.13,0.11,0.10
HD132173,6254,4.50,-0.11,-0.02,0.00,0.05,-0.05
HD132375,6202,4.08,0.02,0.07,0.07,0.07,0.02
HD133161,5959,4.24,0.30,0.22,0.15,0.21,0.24
HD133295,6089,4.43,-0.21,-0.06,-0.01,0.01,-0.13
HD134319,5662,4.52,-0.22,-0.04,-0.20,0.03,-0.16
HD134044,6148,4.23,0.01,0.06,0.04,0.05,0.03
HD134083,6435,4.19,0.18,0.00,-0.14,-0.02,-0.37
HD134440,4796,4.64,-1.92,-1.42,-1.21,-1.41,-1.60
HD134439,4896,4.55,-2.00,-1.59,-1.30,-1.48,-1.68
HD134331,5943,4.38,0.07,0.08,0.06,0.08,0.07
HD134330,5658,4.55,0.07,0.09,0.07,0.13,0.10
HD134060,5914,4.37,0.10,0.10,0.08,0.09,0.10
HD135101,5705,4.36,0.05,0.11,0.18,0.08,0.09
HD134987,5750,4.35,0.40,0.28,0.23,0.28,0.33
HD134606,5648,4.41,0.40,0.30,0.25,0.29,0.33
HD135599,5221,4.46,-0.14,-0.10,-0.09,-0.05,-0.15
HD136118,6097,4.05,-0.11,-0.05,-0.02,-0.05,-0.12
HD136580,6227,4.22,-0.13,-0.09,-0.11,-0.11,-0.15
HD136442,4889,3.91,0.48,0.31,0.27,0.43,0.42
HD136654,6235,4.12,0.01,0.09,0.03,0.09,0.02
HD136544,6351,4.19,0.19,0.16,0.13,0.17,0.14
HD136352,5672,4.58,-0.27,-0.16,-0.14,-0.34,-0.32
HD136713,4981,4.62,0.40,0.24,0.15,0.22,0.24
HD136834,4994,4.58,0.45,0.27,0.14,0.28,0.26
HD136923,5379,4.58,-0.08,-0.07,-0.07,-0.07,-0.12
HD136925,5717,4.51,-0.22,-0.10,-0.02,-0.29,-0.26
HD137510,5966,3.99,0.50,0.35,0.30,0.37,0.41
HD138004,5742,4.49,-0.12,-0.07,-0.06,-0.09,-0.14
HD137778,5185,4.60,0.36,0.21,0.16,0.28,0.24
HD137812,5303,4.14,-0.08,-0.05,0.08,0.04,-0.01
HD139813,5491,4.71,-0.02,0.03,0.11,0.14,0.03
HD138573,5722,4.45,-0.02,-0.01,-0.05,-0.03,-0.04
HD138549,5534,4.43,0.04,0.01,-0.03,0.00,0.00
HD138776,5681,4.31,0.50,0.35,0.30,0.38,0.43
HD139477,4714,4.88,-0.12,0.17,-0.05,0.11,0.05
HD139323,5099,4.65,0.45,0.35,0.24,0.37,0.37
HD139324,5935,4.26,0.19,0.13,0.12,0.15,0.17
HD139457,5957,3.99,-0.50,-0.40,-0.32,-0.48,-0.55
HD140538,5653,4.44,-0.04,0.06,0.08,0.08,0.03
HD140913,6048,4.57,-0.02,0.06,0.06,0.13,0.05
HD141004,5936,4.30,0.08,0.08,0.02,0.05,0.02
HD140785,5771,4.13,-0.09,-0.04,-0.01,-0.01,-0.05
HD141103,6087,4.01,-0.32,-0.26,-0.25,-0.31,-0.38
HD140901,5627,4.53,0.11,0.09,0.07,0.10,0.10
HD141937,5847,4.42,0.04,0.10,0.09,0.13,0.10
HD142373,5861,4.14,-0.53,-0.33,-0.26,-0.44,-0.51
HD142267,5756,4.48,-0.48,-0.35,-0.35,-0.43,-0.48
HD142229,5930,4.50,-0.09,-0.02,0.05,0.05,-0.05
HD142860,6262,4.18,-0.09,-0.11,-0.14,-0.18,-0.21
HD142415,5902,4.38,0.01,0.08,0.04,0.09,0.04
HD143291,5221,4.55,-0.45,-0.32,-0.32,-0.44,-0.47
HD143006,5875,4.23,0.06,0.07,0.30,0.22,0.11
HD143114,5869,4.57,-0.32,-0.20,-0.12,-0.38,-0.36
HD143761,5823,4.36,-0.23,-0.09,-0.06,-0.20,-0.21
HD144579,5214,4.71,-0.57,-0.36,-0.39,-0.69,-0.62
HD144585,5854,4.33,0.36,0.30,0.32,0.31,0.35
HD144009,5595,4.48,0.05,0.07,0.02,0.06,0.06
HD145435,6110,4.15,-0.01,0.04,0.01,0.03,-0.01
HD145229,5885,4.37,-0.25,-0.19,-0.21,-0.16,-0.28
HD144628,5021,4.54,-0.41,-0.32,-0.28,-0.41,-0.42
HD144988,5862,3.86,-0.22,-0.19,-0.06,-0.18,-0.22
HD145675,5388,4.52,0.62,0.42,0.40,0.46,0.49
HD145934,4899,3.19,0.15,-0.09,0.06,0.15,0.10
GJ615.1B,5388,4.57,-0.07,-0.01,-0.04,-0.02,-0.06
HD145958,5436,4.55,-0.07,-0.02,-0.05,-0.03,-0.06
HD145809,5780,4.16,-0.29,-0.22,-0.09,-0.24,-0.29
HD145825,5803,4.49,-0.01,0.04,0.01,0.03,0.02
HD146362,5821,4.39,-0.12,-0.07,-0.12,-0.06,-0.12
