Name,Teff,log(g),[Na/H],[Si/H],[Ti/H],[Fe/H],[Ni/H]
HD147231,5636,4.51,0.01,0.05,0.07,0.00,-0.01
HD146233,5791,4.41,0.01,0.03,0.03,0.03,0.01
HD147044,5884,4.40,-0.05,-0.02,-0.03,-0.01,-0.05
HD146775,5806,4.33,-0.08,-0.09,-0.12,-0.10,-0.11
HD146481,5675,4.24,-0.39,-0.26,-0.11,-0.44,-0.40
HD147512,5519,4.48,-0.01,-0.03,-0.05,-0.06,-0.07
BD-114126,4880,4.71,0.08,0.12,-0.03,0.08,0.01
HD147513,5930,4.61,-0.12,0.01,0.15,0.09,0.01
HD147776,4880,4.72,-0.32,-0.17,-0.21,-0.29,-0.36
HD147723,6006,4.10,0.11,0.13,0.18,0.16,0.14
HD147722,5971,4.28,0.09,0.11,0.09,0.11,0.11
HD148427,5035,3.61,0.08,-0.03,0.07,0.17,0.15
HD149200,6203,4.16,-0.05,0.09,0.15,0.11,0.07
HD149652,6321,4.23,-0.06,-0.05,-0.03,-0.06,-0.11
HD149661,5277,4.57,0.07,0.04,0.03,0.07,0.02
HD149724,5738,4.29,0.53,0.38,0.38,0.41,0.45
HD149806,5359,4.54,0.29,0.19,0.15,0.21,0.22
HD149612,5726,4.62,-0.45,-0.37,-0.36,-0.45,-0.47
HD150554,6010,4.29,-0.14,0.00,-0.05,0.00,-0.06
HD150433,5649,4.56,-0.30,-0.16,-0.09,-0.38,-0.33
HD150248,5694,4.45,-0.12,-0.04,-0.08,-0.11,-0.11
HD150437,5811,4.30,0.42,0.29,0.26,0.30,0.36
HD151044,6096,4.30,-0.07,-0.01,-0.05,0.01,-0.04
HD151541,5332,4.57,-0.22,-0.16,-0.16,-0.19,-0.22
HD150474,5459,4.13,-0.04,0.01,0.06,0.05,0.02
HD150933,6114,4.26,0.21,0.15,0.15,0.15,0.17
HD150698,5878,4.12,0.28,0.20,0.21,0.24,0.25
HD151090,5060,3.86,-0.28,-0.24,-0.07,-0.20,-0.24
HD151877,5212,4.54,-0.12,-0.14,-0.13,-0.14,-0.18
HD151337,5056,3.71,-0.05,-0.12,-0.02,-0.02,-0.02
HD151995,4832,4.72,0.13,0.15,0.02,0.04,0.00
HD152446,6216,4.12,-0.11,-0.06,-0.01,-0.07,-0.14
HD152391,5479,4.57,-0.06,-0.03,0.00,0.04,-0.07
HD152792,5698,4.03,-0.33,-0.26,-0.15,-0.31,-0.34
HD152555,5967,4.46,-0.26,-0.02,-0.04,0.05,-0.07
HD153458,5907,4.59,0.09,0.10,0.13,0.16,0.10
HD153627,5943,4.34,-0.29,-0.22,-0.20,-0.29,-0.33
HD153075,5781,4.48,-0.43,-0.29,-0.21,-0.55,-0.50
HD154345,5468,4.54,-0.10,-0.10,-0.13,-0.10,-0.14
HD154160,5650,4.12,0.51,0.35,0.37,0.43,0.47
HD154088,5409,4.46,0.43,0.29,0.27,0.31,0.34
HD154417,5989,4.30,-0.05,0.00,-0.02,0.04,-0.05
HD155060,6009,4.37,-0.13,-0.09,-0.09,-0.11,-0.16
HD154962,5784,4.10,0.48,0.30,0.28,0.33,0.39
HD154577,4881,4.61,-0.67,-0.54,-0.55,-0.69,-0.68
HD154857,5606,3.99,-0.24,-0.19,-0.15,-0.22,-0.23
HD155423,6210,4.22,0.42,0.29,0.29,0.32,0.33
HD155974,6275,4.19,-0.22,-0.12,-0.12,-0.17,-0.25
HD156365,5856,4.09,0.43,0.27,0.28,0.29,0.34
HD156274,5256,4.61,-0.35,-0.24,-0.23,-0.34,-0.35
HD156826,5249,3.79,-0.18,-0.24,-0.04,-0.13,-0.17
HD157214,5697,4.50,-0.27,-0.11,-0.12,-0.36,-0.32
HD155918,5752,4.61,-0.53,-0.37,-0.32,-0.64,-0.61
HD157466,5962,4.31,-0.44,-0.40,-0.38,-0.42,-0.49
HD157172,5490,4.53,0.16,0.15,0.16,0.17,0.16
HD157347,5714,4.50,0.02,-0.04,0.03,0.03,0.04
HD157338,5961,4.28,-0.09,-0.07,-0.10,-0.08,-0.13
HD158633,5302,4.66,-0.41,-0.34,-0.35,-0.40,-0.45
HD157968,6320,4.09,0.23,0.17,0.19,0.17,0.14
HD159063,6215,4.18,0.21,0.21,0.22,0.22,0.19
HD159222,5743,4.26,0.08,0.10,0.03,0.10,0.10
HD158783,5804,4.20,0.14,0.10,0.12,0.13,0.12
HD159909,5723,4.40,0.06,0.07,0.10,0.08,0.06
HD159868,5623,4.05,-0.01,-0.02,0.02,0.00,-0.01
HD160693,5820,4.51,-0.43,-0.34,-0.23,-0.50,-0.52
HD161897,5623,4.58,-0.04,-0.01,0.02,0.03,-0.02
HD160691,5784,4.30,0.40,0.28,0.26,0.29,0.34
HD161797A,5597,4.10,0.33,0.27,0.22,0.30,0.32
HD161555,5820,4.06,0.17,0.11,0.14,0.13,0.14
BD-084501,5755,4.20,-2.42,-1.45,-1.36,-1.47,-1.67
HD161848,5075,4.59,-0.29,-0.20,-0.20,-0.39,-0.36
HD161050,5980,4.14,-0.05,-0.03,0.00,-0.05,-0.07
HD161612,5600,4.52,0.14,0.17,0.11,0.14,0.14
HD162020,4845,4.90,-0.13,0.04,-0.01,0.11,0.05
HD162255,5835,4.25,0.18,0.11,0.09,0.10,0.13
HD162826,6162,4.29,0.02,0.03,0.06,0.03,0.00
HD163102,6206,4.17,-0.09,0.01,0.01,-0.03,-0.09
HD163153,5744,4.35,0.59,0.40,0.44,0.49,0.51
HD163489,5004,3.13,0.29,0.03,0.18,0.30,0.28
HD163272,5945,4.22,0.26,0.24,0.14,0.23,0.26
HD164595,5745,4.50,-0.08,-0.03,-0.04,-0.06,-0.08
HD164507,5647,3.93,0.16,0.10,0.21,0.19,0.18
HD164922,5385,4.51,0.17,0.16,0.21,0.17,0.15
HD164427,5954,4.28,0.18,0.12,0.10,0.13,0.15
HD165567,6258,3.99,0.05,0.02,0.05,0.06,-0.03
HD165269,6047,4.09,0.40,0.27,0.23,0.27,0.30
HD166435,5843,4.44,-0.05,-0.04,0.01,0.04,-0.09
HD166620,5000,4.47,-0.09,-0.13,-0.07,-0.18,-0.19
BD+053640,5104,4.85,-0.99,-0.49,-0.75,-1.14,-1.06
HD166553,5960,4.17,0.07,0.02,0.07,0.04,0.02
HD167215,6088,4.08,-0.42,-0.27,-0.21,-0.30,-0.40
HD167389,5911,4.47,-0.09,0.00,0.00,0.02,-0.06
HD168009,5767,4.31,0.03,0.00,-0.07,0.00,0.00
HD167665,6115,4.22,-0.18,-0.12,-0.09,-0.17,-0.20
HD168443,5580,4.25,0.07,0.10,0.12,0.08,0.08
HD168060,5620,4.18,0.27,0.26,0.25,0.28,0.31
HD168723,4975,3.29,-0.10,-0.22,-0.10,-0.05,-0.09
HD168746,5564,4.52,-0.07,0.03,0.08,-0.08,-0.07
HD168871,5964,4.37,-0.10,-0.06,-0.05,-0.09,-0.11
HD169822,5592,4.44,-0.10,-0.10,-0.02,-0.12,-0.16
HD169586,6214,4.13,0.41,0.25,0.14,0.23,0.27
HD169830,6221,4.06,0.06,0.11,0.20,0.15,0.09
HD170174,5245,3.11,0.42,0.04,0.29,0.35,0.24
HD170778,5912,4.37,-0.14,-0.05,-0.03,0.00,-0.10
HD170469,5811,4.39,0.40,0.30,0.29,0.30,0.35
HD170493,4770,4.79,0.38,0.27,0.17,0.35,0.37
HD170829,5398,3.93,0.06,0.05,0.08,0.13,0.10
HD170657,5103,4.61,-0.16,-0.13,-0.14,-0.15,-0.22
HD171067,5643,4.50,-0.06,-0.04,-0.05,-0.03,-0.06
HD171665,5651,4.48,-0.06,-0.04,-0.03,-0.04,-0.07
HD171918,5775,4.28,0.20,0.18,0.23,0.22,0.23
HD172310,5414,4.60,-0.37,-0.32,-0.34,-0.42,-0.43
HD172051,5564,4.50,-0.28,-0.20,-0.23,-0.26,-0.30
HD172649,6236,4.41,-0.17,-0.05,-0.04,-0.03,-0.15
HD172513,5531,4.51,-0.09,-0.03,-0.02,-0.01,-0.06
HD173701,5399,4.53,0.52,0.32,0.27,0.32,0.36
HD173667,6423,3.98,0.06,0.03,-0.06,0.03,-0.06
HD174080,4750,4.84,0.05,0.18,0.04,0.22,0.18
HD174457,5852,4.08,-0.19,-0.18,-0.06,-0.18,-0.23
HD174912,5861,4.45,-0.43,-0.39,-0.40,-0.48,-0.51
HD175317,6362,3.99,0.01,0.02,-0.03,0.03,-0.06
HD175541,5055,3.52,-0.16,-0.19,-0.08,-0.07,-0.12
HD175518,5577,4.42,0.34,0.24,0.22,0.29,0.27
HD175345,6125,4.31,-0.14,-0.06,-0.12,-0.09,-0.14
HD175726,5998,4.41,-0.22,-0.11,-0.09,-0.07,-0.20
HD176377,5788,4.40,-0.31,-0.23,-0.22,-0.27,-0.33
HD230409,5385,4.92,-0.78,-0.55,-0.52,-0.86,-0.81
HD177153,5993,4.20,-0.06,-0.04,-0.03,-0.05,-0.10
HD176982,5524,3.96,-0.12,-0.13,-0.04,-0.10,-0.12
HD177830,4949,4.03,0.59,0.40,0.34,0.55,0.61
HD177565,5648,4.49,0.11,0.10,0.06,0.09,0.10
HD178911B,5668,4.55,0.34,0.26,0.26,0.28,0.30
HD179957,5676,4.34,-0.03,0.01,-0.01,-0.02,-0.02
HD179958,5760,4.39,0.01,0.04,0.06,0.04,0.04
HD179140,5884,4.11,0.19,0.08,0.16,0.12,0.11
HD230999,5665,4.53,0.06,0.12,0.18,0.15,0.10
HD179949,6168,4.34,0.10,0.13,0.08,0.14,0.11
HD180684,6090,4.07,0.05,0.04,0.12,0.05,0.01
HD181144,6152,4.28,-0.15,-0.13,-0.15,-0.14,-0.22
HD181655,5701,4.50,-0.02,0.04,0.02,0.06,0.02
HD181234,5354,4.47,0.41,0.37,0.33,0.36,0.37
HD181428,6047,4.20,0.01,0.02,0.04,0.03,0.00
HD182488,5453,4.67,0.26,0.19,0.17,0.22,0.20
HD182572,5656,4.32,0.52,0.38,0.38,0.40,0.43
HD183263,5936,4.40,0.33,0.27,0.28,0.30,0.33
HD183341,5926,4.33,0.01,0.05,0.02,0.05,0.03
HD183650,5713,4.24,0.43,0.29,0.31,0.31,0.36
HD183658,5798,4.42,0.08,0.05,0.03,0.05,0.05
HD183870,5067,4.69,-0.04,0.08,-0.04,0.05,-0.05
HD185144,5246,4.53,-0.21,-0.19,-0.19,-0.19,-0.22
HD183877,5618,4.59,-0.13,-0.05,-0.05,-0.20,-0.18
HD184385,5586,4.53,0.10,0.09,0.08,0.15,0.09
HD185395,6594,4.04,-0.12,-0.05,-0.13,-0.08,-0.16
HD184860,4916,4.54,0.02,-0.01,-0.05,-0.04,-0.08
HD184985,6333,4.11,0.05,0.05,0.13,0.09,0.02
HD185295,5223,3.83,-0.13,-0.16,-0.06,-0.10,-0.13
HD185720,6304,4.36,0.30,0.27,0.30,0.24,0.23
HD186408,5781,4.34,0.13,0.11,0.06,0.10,0.10
HD186427,5674,4.35,0.08,0.08,0.00,0.04,0.04
HD187123,5815,4.36,0.13,0.10,0.11,0.12,0.13
HD187237,5831,4.49,-0.04,0.07,0.08,0.07,0.02
HD187085,6075,4.28,0.05,0.08,0.08,0.09,0.07
HD187691,6139,4.25,0.10,0.16,0.17,0.16,0.14
HD187923,5726,4.28,-0.12,-0.05,0.04,-0.13,-0.13
HD188015,5746,4.44,0.42,0.27,0.25,0.29,0.33
HD187897,5835,4.30,0.06,0.07,0.04,0.10,0.04
HD188510,5171,4.35,-1.99,-1.58,-1.47,-1.64,-1.89
HD188512,5163,3.79,-0.15,-0.18,-0.13,-0.10,-0.15
HD189067,5868,4.25,-0.06,0.00,0.03,-0.02,-0.03
HD188641,5885,4.07,-0.15,-0.11,-0.01,-0.08,-0.11
HD189625,5822,4.44,0.15,0.16,0.12,0.18,0.17
HD190067,5356,4.61,-0.36,-0.26,-0.27,-0.37,-0.37
HD190228,5348,3.98,-0.24,-0.22,-0.12,-0.18,-0.23
HD190360,5552,4.38,0.25,0.24,0.20,0.21,0.23
HD190404,4973,4.64,-0.58,-0.37,-0.35,-0.66,-0.60
HD190406,5932,4.45,-0.01,0.05,0.01,0.05,0.01
HD190771,5834,4.44,0.11,0.12,0.11,0.17,0.14
HD189567,5713,4.45,-0.25,-0.16,-0.16,-0.23,-0.27
HD191022,5829,4.21,0.14,0.08,0.11,0.09,0.10
HD190248,5590,4.31,0.43,0.31,0.25,0.33,0.36
HD191785,5140,4.60,-0.05,0.03,-0.01,-0.15,-0.12
HD191408,4922,4.58,-0.48,-0.35,-0.26,-0.56,-0.52
HD192020,5194,4.57,-0.03,-0.03,0.00,0.01,-0.07
HD192263,4975,4.60,0.00,0.07,-0.02,0.05,-0.02
HD192343,5839,4.34,0.28,0.22,0.21,0.28,0.27
HD192344,5772,4.22,0.28,0.22,0.25,0.30,0.29
HD192310,5080,4.55,0.06,0.01,-0.03,0.02,0.02
HD193664,5886,4.48,-0.20,-0.11,-0.07,-0.09,-0.15
HD193017,6085,4.32,-0.05,0.02,0.01,0.03,-0.03
HD193193,5954,4.32,-0.06,-0.05,-0.05,-0.07,-0.08
HD193795,5878,4.36,0.24,0.16,0.16,0.19,0.18
HD192865,6153,4.11,0.09,0.11,0.12,0.10,0.07
HD193307,6033,4.22,-0.30,-0.21,-0.13,-0.27,-0.30
HD194035,5762,4.24,0.23,0.19,0.25,0.27,0.24
HD193901,5408,4.14,-1.54,-1.03,-1.12,-1.23,-1.46
HD194766,6089,4.26,-0.20,-0.15,-0.16,-0.18,-0.24
HD194640,5530,4.49,0.00,-0.01,-0.07,-0.03,-0.03
HD195019,5788,4.23,-0.03,0.04,0.08,0.07,0.03
HD195104,6168,4.34,-0.22,-0.13,-0.11,-0.15,-0.22
HD195564,5699,4.16,0.01,0.05,0.10,0.10,0.06
HD196201,5460,4.57,-0.17,-0.12,-0.14,-0.14,-0.18
HD196050,5892,4.27,0.33,0.25,0.22,0.23,0.28
HD196850,5790,4.37,-0.14,-0.09,-0.08,-0.11,-0.13
HD196390,5863,4.46,-0.05,0.04,0.03,0.06,0.01
HD196885,6185,4.23,0.18,0.20,0.17,0.20,0.18
HD196378,6040,4.02,-0.36,-0.30,-0.19,-0.34,-0.40
HD196761,5419,4.54,-0.26,-0.22,-0.26,-0.28,-0.32
HD196800,5991,4.34,0.20,0.17,0.12,0.16,0.18
HD197076A,5823,4.47,-0.15,-0.07,-0.04,-0.09,-0.13
HD196068,5948,4.38,0.31,0.30,0.29,0.31,0.36
HD198089,5872,4.33,-0.23,-0.13,-0.10,-0.21,-0.24
HD198387,5151,3.84,-0.11,-0.16,0.01,-0.04,-0.09
HD199019,5560,4.60,-0.14,-0.04,-0.02,0.07,-0.08
HD199476,5470,4.61,-0.36,-0.23,-0.24,-0.41,-0.41
HD198802,5767,3.96,0.00,-0.02,0.06,0.04,0.02
BD+413931,5125,4.29,-2.15,-1.88,-1.65,-1.77,-2.08
HD199598,6022,4.40,0.02,0.07,0.05,0.07,0.04
HD199288,5796,4.62,-0.52,-0.41,-0.33,-0.63,-0.60
HD199190,5938,4.29,0.21,0.15,0.15,0.15,0.17
HD199960,5962,4.31,0.40,0.26,0.26,0.27,0.33
HD200565,5684,4.37,-0.09,-0.06,-0.05,-0.06,-0.12
HD200538,6037,4.34,0.08,0.09,0.13,0.11,0.11
HD200746,5949,4.50,-0.06,-0.01,0.04,0.04,-0.06
HD200968,5221,4.61,0.04,0.05,0.04,0.11,0.03
HD201219,5653,4.57,0.08,0.12,0.09,0.15,0.11
HD201203,6338,4.29,0.04,0.20,0.24,0.27,0.19
HD199509,5770,4.55,-0.33,-0.25,-0.27,-0.31,-0.33
HD201891,5688,4.39,-1.05,-0.84,-0.86,-1.12,-1.20
HD202108,5684,4.51,-0.27,-0.19,-0.19,-0.20,-0.27
HD201989,5749,4.58,0.05,0.09,0.09,0.12,0.08
HD202206,5788,4.49,0.33,0.28,0.31,0.35,0.35
HD202575,4780,4.85,-0.18,0.16,-0.05,0.04,-0.06
HD202751,4797,4.70,-0.13,0.03,-0.06,-0.10,-0.13
HD202628,5816,4.49,-0.10,-0.01,-0.01,-0.01,-0.08
HD202917,5617,4.39,-0.06,-0.07,0.02,0.11,-0.06
HD204277,6196,4.37,-0.20,-0.06,-0.07,-0.02,-0.12
HD204385,5971,4.34,0.05,0.05,-0.02,0.02,0.02
HD205420,6313,3.91,0.05,0.07,0.18,0.10,0.04
HD205390,5053,4.62,-0.24,-0.16,-0.15,-0.17,-0.24
BD+592407,5067,4.39,-2.16,-2.11,-1.84,-1.95,-2.15
HD205536,5444,4.52,-0.02,0.00,-0.02,-0.03,-0.04
HD206332,6033,4.33,0.41,0.28,0.25,0.27,0.33
HD206374,5587,4.52,-0.17,-0.09,-0.10,-0.05,-0.13
HD206387,5852,4.50,0.08,0.12,0.18,0.23,0.14
HD206395,6200,4.25,0.31,0.24,0.19,0.24,0.25
HD206860,5974,4.47,-0.07,-0.02,-0.03,-0.02,-0.09
HD207129,5889,4.42,-0.09,-0.01,-0.04,-0.03,-0.07
HD207874,5148,4.50,0.12,0.13,0.10,0.11,0.09
HD208313,5033,4.54,-0.02,-0.04,-0.04,-0.04,-0.08
HD207700,5680,4.39,0.08,0.11,0.11,0.04,0.07
HD208487,6067,4.34,-0.01,0.04,0.03,0.02,-0.01
HD208776,5977,4.00,-0.07,-0.09,0.01,-0.05,-0.10
HD208801,4915,3.87,0.16,0.10,0.11,0.16,0.18
HD208998,5901,4.42,-0.25,-0.13,0.01,-0.32,-0.28
HD209393,5541,4.38,-0.31,-0.18,-0.20,-0.17,-0.27
HD209253,6109,4.20,-0.35,-0.10,-0.35,-0.09,-0.26
HD209458,6099,4.38,-0.04,0.04,0.08,0.01,-0.04
HD209268,6028,4.12,-0.13,-0.05,-0.01,-0.08,-0.11
HD209779,5718,4.25,-0.04,-0.03,-0.12,0.02,-0.07
HD209875,6098,4.11,-0.17,-0.09,-0.04,-0.11,-0.17
HD211681,5839,4.32,0.56,0.38,0.39,0.45,0.48
HD209653,6002,4.24,-0.09,-0.05,-0.01,-0.10,-0.12
HD210312,5760,4.47,0.28,0.24,0.22,0.28,0.29
HD210277,5555,4.49,0.24,0.22,0.22,0.21,0.21
HD210302,6339,4.15,0.07,0.08,0.08,0.09,0.02
HD210460,5658,3.95,-0.23,-0.20,-0.02,-0.12,-0.22
HD210667,5462,4.56,0.29,0.19,0.18,0.23,0.20
HD210855,6261,3.93,0.26,0.17,0.25,0.19,0.14
HD210752,5835,4.37,-0.62,-0.54,-0.50,-0.64,-0.69
HD211038,5009,3.87,-0.17,-0.15,0.00,-0.22,-0.20
HD210918,5735,4.38,-0.15,-0.06,-0.05,-0.11,-0.13
HD211080,5820,4.19,0.44,0.30,0.35,0.39,0.41
HD211317,5910,4.23,0.38,0.25,0.21,0.24,0.29
HD212291,5602,4.56,-0.22,-0.13,-0.10,-0.12,-0.19
HD212330,5739,4.15,-0.05,0.02,0.05,0.05,0.02
HD212168,5897,4.33,-0.05,0.00,-0.03,-0.01,-0.03
HD212708,5689,4.39,0.40,0.28,0.23,0.29,0.32
HD212801,5456,3.98,0.00,0.00,0.16,0.12,0.06
HD213472,5799,4.30,0.04,0.12,0.20,0.16,0.13
HD213240,5968,4.22,0.19,0.14,0.16,0.14,0.16
HD213519,5832,4.44,0.00,0.01,0.02,0.00,0.00
HD213575,5668,4.33,-0.07,-0.02,0.05,-0.12,-0.11
HD213628,5579,4.53,0.06,0.03,0.00,0.03,0.01
HD214557,5997,4.09,0.06,0.04,0.06,0.07,0.03
HD214759,5434,4.44,0.28,0.18,0.10,0.18,0.20
HD214953,6049,4.29,0.00,0.05,0.03,0.03,0.01
HD215578,5136,3.37,0.54,0.17,0.33,0.43,0.41
HD215648,6204,4.00,-0.19,-0.15,-0.12,-0.22,-0.30
HD216275,5863,4.38,-0.26,-0.14,-0.14,-0.16,-0.23
HD216259,4969,4.81,-0.61,-0.37,-0.35,-0.63,-0.65
HD216435,5999,4.15,0.28,0.22,0.24,0.24,0.27
HD216625,6212,4.33,-0.01,0.05,0.08,0.05,0.00
HD216437,5849,4.23,0.29,0.22,0.20,0.22,0.25
HD217014,5787,4.45,0.30,0.22,0.14,0.20,0.23
HD217004,5694,3.99,-0.07,-0.05,-0.01,-0.05,-0.07
HD217107,5704,4.54,0.43,0.35,0.32,0.39,0.39
HD217165,5936,4.39,-0.05,0.00,0.01,0.01,-0.03
HD217618,5714,4.30,0.47,0.33,0.31,0.35,0.39
HD217813,5885,4.50,-0.08,0.02,0.09,0.07,-0.03
HD217877,5953,4.29,-0.07,-0.06,-0.08,-0.11,-0.13
HD218168,5879,4.39,-0.20,-0.06,-0.07,-0.01,-0.12
HD217958,5962,4.40,0.45,0.32,0.30,0.31,0.38
HD218209,5585,4.60,-0.36,-0.26,-0.23,-0.46,-0.45
HD218101,5301,3.99,0.18,0.06,0.19,0.20,0.17
HD218133,5923,4.23,-0.08,-0.06,-0.02,-0.07,-0.08
HD218235,6539,4.34,0.38,0.28,0.24,0.23,0.24
HD218261,6226,4.40,0.24,0.15,0.12,0.15,0.13
HD218566,4927,4.81,0.38,0.33,0.23,0.38,0.37
HD218687,5905,4.35,-0.18,-0.08,-0.07,-0.08,-0.14
HD218730,5900,4.35,-0.01,0.08,0.05,0.10,0.05
HD218868,5540,4.45,0.24,0.22,0.18,0.21,0.23
HD219134,4835,4.56,0.13,0.02,0.02,0.12,0.09
HD219172,6145,4.30,0.06,0.11,0.09,0.12,0.09
HD219077,5364,4.05,-0.17,-0.10,-0.05,-0.12,-0.13
HD219420,6120,4.33,-0.03,-0.01,-0.04,-0.04,-0.07
HD219538,5078,4.50,0.02,-0.04,-0.07,-0.04,-0.08
HD219542,5710,4.44,0.08,0.14,0.13,0.16,0.14
BD-025917,5708,4.19,-0.01,0.05,-0.05,0.05,0.03
HD219834B,5168,4.59,0.28,0.20,0.14,0.22,0.21
HD220077,5840,4.37,-0.36,-0.30,-0.23,-0.34,-0.43
HD220339,4975,4.53,-0.25,-0.28,-0.24,-0.31,-0.35
HD220507,5687,4.35,0.06,0.08,0.10,0.02,0.02
HD221146,5903,4.34,0.11,0.12,0.11,0.11,0.12
HD221354,5133,4.37,0.05,0.06,0.01,0.01,0.00
HD221356,5976,4.31,-0.29,-0.22,-0.18,-0.26,-0.29
HD221420,5830,4.08,0.42,0.33,0.32,0.34,0.43
HD221830,5740,4.40,-0.37,-0.16,-0.06,-0.40,-0.37
HD222033,5991,4.26,0.20,0.17,0.20,0.19,0.20
HD222143,5869,4.45,0.01,0.09,0.06,0.15,0.10
HD222237,4723,4.69,-0.28,-0.09,-0.18,-0.29,-0.27
HD222335,5231,4.54,-0.20,-0.17,-0.17,-0.17,-0.21
HD222368,6204,4.18,-0.09,-0.06,-0.04,-0.09,-0.16
HD222480,5833,4.24,0.20,0.17,0.18,0.18,0.19
HD222582,5727,4.34,-0.01,0.00,0.00,-0.03,-0.03
HD222697,5361,4.41,0.01,0.12,0.10,0.16,0.10
HD223084,6083,4.33,-0.22,-0.15,-0.17,-0.13,-0.22
HD223171,5862,4.21,0.15,0.10,0.13,0.12,0.12
HD223238,5844,4.39,0.04,0.03,0.04,0.02,0.03
HD223315,5606,4.34,0.29,0.28,0.25,0.30,0.31
HD223498,5628,4.58,0.17,0.18,0.17,0.23,0.18
HD223691,5506,4.08,-0.22,-0.16,-0.08,-0.17,-0.19
HD224156,5496,4.58,-0.05,0.02,0.04,-0.03,-0.06
HD224383,5754,4.31,-0.14,-0.05,0.00,-0.04,-0.09

